timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
1568320401984634,加速度计,2.3110,7.8243,2.9820,,,,,,,
1568320415765155,陀螺仪,,,,,,,,-0.0360,0.1121,-0.1051
1568320412000884,加速度计,0.7949,8.0798,6.2405,,,,,,,
1568320422017707,加速度计,0.0150,6.9516,9.8659,,,,,,,
1568320432038124,加速度计,0.3178,6.7941,8.5539,,,,,,,
1568320442057499,加速度计,2.0117,8.7239,4.8752,,,,,,,
1568320435805207,陀螺仪,,,,,,,,0.0515,0.1205,-0.0617
1568320452076249,加速度计,0.5602,6.4793,6.3668,,,,,,,
1568320455842707,陀螺仪,,,,,,,,0.0043,0.1296,-0.1025
1568320462094999,加速度计,1.1211,8.1409,5.6617,,,,,,,
1568320472113749,加速度计,1.1031,6.4823,6.4955,,,,,,,
1568320475880207,陀螺仪,,,,,,,,-0.0330,0.1093,-0.1322
1568320482132499,加速度计,1.8435,7.3149,5.4480,,,,,,,
1568320492163853,加速度计,-0.7913,5.5330,9.0327,,,,,,,
1568320495919374,陀螺仪,,,,,,,,-0.0214,0.1238,-0.1660
1568320502170103,加速度计,-0.9331,6.0831,8.7460,,,,,,,
1568320512176770,加速度计,0.1622,6.6361,7.0761,,,,,,,
1568320515933384,陀螺仪,,,,,,,,0.0482,0.1214,-0.0807
1568320522184270,加速度计,2.5965,8.3462,5.5964,,,,,,,
1568320532193020,加速度计,-0.3172,6.3404,7.0773,,,,,,,
1568320535952186,陀螺仪,,,,,,,,0.0023,0.1186,-0.1615
1568320542203436,加速度计,-0.1742,6.3955,8.5557,,,,,,,
1568320552215520,加速度计,0.6913,6.0454,6.9091,,,,,,,
1568320555977968,陀螺仪,,,,,,,,0.0658,0.1003,-0.1431
1568320562229686,加速度计,1.1235,5.8861,6.5541,,,,,,,
1568320572245936,加速度计,0.9301,7.2478,4.5975,,,,,,,
1568320582264270,加速度计,-0.3585,5.8203,7.0378,,,,,,,
1568320576012030,陀螺仪,,,,,,,,0.0554,0.0627,-0.2750
1568320592284686,加速度计,0.4764,7.2269,8.9513,,,,,,,
1568320596054426,陀螺仪,,,,,,,,0.1040,0.0089,-0.3149
1568320602307186,加速度计,0.3089,8.3719,4.4867,,,,,,,
1568320612331353,加速度计,1.5305,7.9942,5.5970,,,,,,,
1568320622356770,加速度计,-0.1329,7.3855,5.5929,,,,,,,
1568320616103645,陀螺仪,,,,,,,,0.0209,-0.0617,-0.4242
1568320632406926,加速度计,1.1073,6.0974,8.0140,,,,,,,
1568320636180311,陀螺仪,,,,,,,,-0.0116,-0.1101,-0.4284
1568320642432655,加速度计,0.8374,7.4950,6.0543,,,,,,,
1568320652451770,加速度计,0.5507,6.6942,9.6804,,,,,,,
1568320656218228,陀螺仪,,,,,,,,-0.0154,-0.1043,-0.4297
1568320662470520,加速度计,-0.3106,6.1740,9.1075,,,,,,,
1568320672489270,加速度计,-0.8272,7.3616,7.1156,,,,,,,
1568320676255728,陀螺仪,,,,,,,,0.0228,-0.1019,-0.3519
1568320682508020,加速度计,0.5938,8.4569,4.8004,,,,,,,
1568320692526770,加速度计,1.1714,6.6499,8.7831,,,,,,,
1568320696293228,陀螺仪,,,,,,,,-0.0316,-0.1076,-0.3794
1568320702545520,加速度计,-0.6363,6.6427,6.9240,,,,,,,
1568320712564270,加速度计,-0.0168,6.7092,7.0108,,,,,,,
1568320716330728,陀螺仪,,,,,,,,-0.0209,-0.1450,-0.3353
1568320722583020,加速度计,-0.4920,7.5531,7.4262,,,,,,,
1568320732602395,加速度计,0.8308,7.4885,6.5805,,,,,,,
1568320736370155,陀螺仪,,,,,,,,0.0033,-0.1336,-0.3284
1568320742621978,加速度计,-0.2897,9.6145,5.1858,,,,,,,
1568320752636978,加速度计,-1.0068,5.8640,10.5477,,,,,,,
1568320756400155,陀螺仪,,,,,,,,0.0158,-0.1625,-0.2774
1568320762651978,加速度计,-1.2324,6.2303,7.3843,,,,,,,
1568320772667239,加速度计,-0.2687,7.5627,2.5971,,,,,,,
1568320782682916,加速度计,-0.5549,7.4561,2.7078,,,,,,,
1568320776430989,陀螺仪,,,,,,,,0.0313,-0.1714,-0.2145
1568320792699009,加速度计,-1.2995,6.0292,10.0796,,,,,,,
1568320796463489,陀螺仪,,,,,,,,-0.0274,-0.1731,-0.1985
1568320802715520,加速度计,-0.6746,6.9240,9.0585,,,,,,,
1568320812732447,加速度计,-0.5561,7.7949,5.4588,,,,,,,
1568320822750051,加速度计,0.7195,4.7710,6.7947,,,,,,,
1568320816497864,陀螺仪,,,,,,,,-0.0141,-0.1827,-0.1425
1568320832768489,加速度计,0.3262,6.8576,8.2151,,,,,,,
1568320842787759,加速度计,0.1885,6.8450,7.7865,,,,,,,
1568320836535364,陀螺仪,,,,,,,,-0.0261,-0.1289,-0.1804
1568320852807603,加速度计,0.0485,5.7826,4.6124,,,,,,,
1568320856575364,陀螺仪,,,,,,,,0.0451,-0.0738,-0.1148
1568320862827864,加速度计,-1.3084,8.1355,3.9726,,,,,,,
1568320872848541,加速度计,1.5862,6.8277,7.7698,,,,,,,
1568320876617030,陀螺仪,,,,,,,,-0.0955,-0.1763,-0.0764
1568320882869634,加速度计,1.7711,5.3989,12.2499,,,,,,,
1568320892891145,加速度计,-0.2011,7.2945,8.4599,,,,,,,
1568320902912811,加速度计,1.7603,6.9540,8.4090,,,,,,,
1568320896660155,陀螺仪,,,,,,,,0.0310,-0.1269,-0.0796
1568320912934478,加速度计,1.8322,7.4178,5.7006,,,,,,,
1568320916703489,陀螺仪,,,,,,,,0.0453,-0.0939,-0.1274
1568320922956145,加速度计,0.6943,7.5405,4.5687,,,,,,,
1568320932976770,加速度计,0.0904,7.6872,8.0128,,,,,,,
1568320942995989,加速度计,0.2963,7.5399,9.5397,,,,,,,
1568320936743697,陀螺仪,,,,,,,,0.0189,-0.1270,-0.1567
1568320953014739,加速度计,0.4998,8.0744,6.5565,,,,,,,
1568320956781197,陀螺仪,,,,,,,,0.1037,-0.1120,-0.1352
1568320963033489,加速度计,-0.3508,8.9860,0.5040,,,,,,,
1568320973052239,加速度计,-0.1736,7.2161,2.6510,,,,,,,
1568320976822030,陀螺仪,,,,,,,,-0.0385,-0.1867,-0.1919
1568320983075155,加速度计,0.0054,7.3747,4.4592,,,,,,,
1568320993099218,加速度计,-0.8284,6.6242,6.6463,,,,,,,
1568320996843853,陀螺仪,,,,,,,,-0.0812,-0.2266,-0.1719
1568321003093072,加速度计,-1.2013,7.4442,9.2650,,,,,,,
1568321013088280,加速度计,0.4908,6.1411,10.2376,,,,,,,
1568321023085676,加速度计,0.2568,8.1696,7.8123,,,,,,,
1568321016835936,陀螺仪,,,,,,,,0.0234,-0.2081,-0.1229
1568321033086093,加速度计,0.4645,8.6161,5.3367,,,,,,,
1568321036839478,陀螺仪,,,,,,,,0.0053,-0.2135,-0.1407
1568321043090103,加速度计,0.9266,6.9653,9.8180,,,,,,,
1568321053098124,加速度计,0.3747,7.1018,9.1345,,,,,,,
1568321056858853,陀螺仪,,,,,,,,0.0457,-0.1839,-0.1071
1568321063110572,加速度计,0.0946,5.1697,6.2171,,,,,,,
1568321073127603,加速度计,2.1344,6.7947,4.6477,,,,,,,
1568321083148957,加速度计,2.1033,6.0831,7.8159,,,,,,,
1568321076896145,陀螺仪,,,,,,,,0.0426,-0.2103,-0.1083
1568321093174478,加速度计,-0.0736,8.1128,5.8251,,,,,,,
1568321096949895,陀螺仪,,,,,,,,0.0614,-0.1929,-0.1795
1568321103203645,加速度计,0.3747,6.7038,3.6093,,,,,,,
1568321113235884,加速度计,0.4776,6.6212,0.9295,,,,,,,
1568321123270520,加速度计,-0.1006,5.3528,4.3449,,,,,,,
1568321117016145,陀螺仪,,,,,,,,-0.0891,-0.2537,-0.1728
1568321133306718,加速度计,-1.1708,6.6744,7.0803,,,,,,,
1568321143343905,加速度计,-0.5644,5.8053,10.7302,,,,,,,
1568321137089270,陀螺仪,,,,,,,,-0.1068,-0.2293,-0.0826
1568321153381405,加速度计,0.0144,8.8256,5.0272,,,,,,,
1568321163408228,加速度计,0.8517,7.0120,2.7779,,,,,,,
1568321157155728,陀螺仪,,,,,,,,-0.0377,-0.1736,0.0224
1568321173427603,加速度计,0.1305,7.3598,2.5115,,,,,,,
1568321177194061,陀螺仪,,,,,,,,-0.1751,-0.1771,0.0348
1568321183446353,加速度计,-1.5365,6.2632,6.9947,,,,,,,
1568321193465103,加速度计,-0.7775,8.1092,9.5164,,,,,,,
1568321197231561,陀螺仪,,,,,,,,-0.1630,-0.1443,0.1920
1568321203483853,加速度计,-0.1245,6.8678,11.6604,,,,,,,
1568321213502603,加速度计,-0.3011,7.3340,4.4909,,,,,,,
1568321223521353,加速度计,0.3693,7.2323,0.7817,,,,,,,
1568321217269061,陀螺仪,,,,,,,,-0.1004,-0.0545,0.2699
