timestamp_ns,累计采样数
70051517632575,320
70051558027471,640
70051599323252,960
70051637752106,1280
70051678237627,1600
70051723553877,1920
70051757915752,2240
70051800766221,2560
70051837656793,2880
70051877900596,3200
70051917896533,3520
70051958205700,3840
70051997905595,4160
70052038200700,4480
70052079433304,4800
70052118206741,5120
70052159515387,5440
70052198796689,5760
70052238962470,6080
70052278889137,6400
70052318944710,6720
70052358836064,7040
70052399855179,7360
70052440154502,7680
70052479621272,8000
70052519306324,8320
70052560935804,8640
70052600465908,8960
70052640627470,9280
70052680634918,9600
70052722441324,9920
70052759682001,10240
70052799666012,10560
70052839430751,10880
70052880728460,11200
70052920260126,11520
70052959397574,11840
70053000231637,12160
70053040872001,12480
70053080301533,12800
70053119706220,13120
70053160541324,13440
70053199876585,13760
70053238908564,14080
70053281777678,14400
70053321116845,14720
70053358881376,15040
70053400642366,15360
70053439869137,15680
70053478668824,16000
70053520091480,16320
70053559646949,16640
70053598903043,16960
70053640933876,17280
70053680560126,17600
70053719766741,17920
70053759295386,18240
70053799582678,18560
70053840622782,18880
70053878448043,19200
70053917874866,19520
70053961755855,19840
70053999908303,20160
70054041033876,20480
70054080293043,20800
70054121723720,21120
70054158595803,21440
70054202756793,21760
70054239904449,22080
70054279834293,22400
70054318825907,22720
70054358990647,23040
70054398642834,23360
70054439704761,23680
70054479251115,24000
70054518340959,24320
70054560838615,24640
70054599660334,24960
70054638638980,25280
70054679451844,25600
70054718551428,25920
70054760300282,26240
70054800113563,26560
70054838685490,26880
70054880904292,27200
70054920778355,27520
70054958542938,27840
70054999341844,28160
70055039753198,28480
70055078466948,28800
70055119315803,29120
70055158417782,29440
70055199750542,29760
70055238192053,30080
70055279497313,30400
70055319266636,30720
70055361400021,31040
70055400646167,31360
70055439223459,31680
70055480415594,32000
70055520818927,32320
70055560278355,32640
70055600156740,32960
70055639671063,33280
70055679691896,33600
70055718599396,33920
70055759699969,34240
70055799912938,34560
70055839828042,34880
70055879561896,35200
70055921913771,35520
70055959099865,35840
70056000565542,36160
70056040883927,36480
70056080807625,36800
70056119829761,37120
70056158717833,37440
70056199841531,37760
70056240216948,38080
70056279721063,38400
70056320142156,38720
70056359536948,39040
70056399790281,39360
70056439785802,39680
