timestamp_ns,累计采样数
78999726480644,320
78999766721478,640
78999806479863,960
78999846649915,1280
78999886582571,1600
78999926935540,1920
78999968488040,2240
79000008411738,2560
79000046707415,2880
79000086774238,3200
79000129172571,3520
79000167719498,3840
79000206838925,4160
79000246405332,4480
79000288169967,4800
79000328223665,5120
79000368744707,5440
79000408535071,5760
79000446315852,6080
79000488722884,6400
79000528415227,6720
79000567437154,7040
79000607378456,7360
79000646917258,7680
79000688688925,8000
79000727900540,8320
79000767853248,8640
79000808179602,8960
79000848568196,9280
79000886885644,9600
79000929847258,9920
79000967131060,10240
79001006832623,10560
79001048232987,10880
79001087739185,11200
79001128086425,11520
79001167831946,11840
79001207293977,12160
79001248645019,12480
79001286936633,12800
79001328135227,13120
79001369130279,13440
79001407006112,13760
79001455886789,14080
79001488803664,14400
79001528039862,14720
79001566883456,15040
79001607731216,15360
79001646717675,15680
79001686828404,16000
79001727963300,16320
79001766777779,16640
79001806998039,16960
79001847692987,17280
79001888007623,17600
79001927110748,17920
79001966332570,18240
79002007185852,18560
79002047406112,18880
79002086751998,19200
79002129801581,19520
79002167519966,19840
79002207517310,20160
79002247505331,20480
79002287496997,20800
79002328505747,21120
79002368129185,21440
79002407017570,21760
79002447111893,22080
79002488957622,22400
79002527388143,22720
79002567844914,23040
79002607467779,23360
79002647403716,23680
79002689424497,24000
79002728683039,24320
79002767192779,24640
79002807259289,24960
79002848653612,25280
79002890112831,25600
79002930103664,25920
79002968366060,26240
79003009928143,26560
79003048539601,26880
79003089897883,27200
79003129262987,27520
79003168801997,27840
79003208376893,28160
79003248601945,28480
79003288433507,28800
79003327159185,29120
79003374358768,29440
79003407294341,29760
79003447611164,30080
79003486633299,30400
79003527346164,30720
79003567353559,31040
79003607480643,31360
79003647132414,31680
79003687436736,32000
79003728000070,32320
79003767092414,32640
79003807162882,32960
79003847276268,33280
79003887122049,33600
79003926982257,33920
79003967486007,34240
79004007110538,34560
79004047372726,34880
79004087147726,35200
79004127888403,35520
79004167454549,35840
79004207007882,36160
79004247545330,36480
79004287111893,36800
79004327343351,37120
79004367909392,37440
79004407037517,37760
79004447249913,38080
79004487654028,38400
79004527572986,38720
79004568864757,39040
79004608529028,39360
79004649077465,39680
79004688402882,40000
79004729273715,40320
79004769195278,40640
79004808676944,40960
79004850115017,41280
79004890314757,41600
79004930418767,41920
79004968599653,42240
79005008728507,42560
79005048053038,42880
79005089981996,43200
79005129248142,43520
79005167890642,43840
79005208653559,44160
79005247576840,44480
79005288580434,44800
79005328168715,45120
79005368642517,45440
79005409476684,45760
79005448590798,46080
79005488386059,46400
79005528821267,46720
79005568458455,47040
79005608418402,47360
79005647735277,47680
79005690042048,48000
79005727140329,48320
79005767112361,48640
79005808575486,48960
79005847889131,49280
79005887424965,49600
79005928548663,49920
79005968402361,50240
79006008521631,50560
79006048858871,50880
79006088407204,51200
79006128294965,51520
79006169337048,51840
79006208685017,52160
79006249876475,52480
79006288799860,52800
79006328362985,53120
79006367832256,53440
79006408692881,53760
79006448662621,54080
79006488556631,54400
79006527970381,54720
79006569201423,55040
79006608570590,55360
79006648972256,55680
79006688573558,56000
79006727691058,56320
79006768050537,56640
79006808477621,56960
79006848785225,57280
79006888501371,57600
79006928933819,57920
79006968906423,58240
79007008760225,58560
79007049050746,58880
79007087733975,59200
79007128346579,59520
79007167751214,59840
79007208884652,60160
79007248647100,60480
79007288808558,60800
79007327543714,61120
79007367705745,61440
79007407562985,61760
79007447436058,62080
79007488024183,62400
79007527493193,62720
79007567738975,63040
79007607579183,63360
79007647861943,63680
79007687602256,64000
79007727822047,64320
79007767463454,64640
79007807532360,64960
79007848345537,65280
79007887816683,65600
79007927998141,65920
79007968076995,66240
79008007483870,66560
79008047332099,66880
79008087546058,67200
79008128023714,67520
79008167574026,67840
79008208005693,68160
79008247436683,68480
79008287431474,68800
79008326895953,69120
79008367126422,69440
79008407715537,69760
79008448091891,70080
79008488202933,70400
79008527567360,70720
79008567446162,71040
79008608220433,71360
79008647165328,71680
79008687578557,72000
79008727371162,72320
79008767932412,72640
79008807592255,72960
79008848429599,73280
79008888007776,73600
79008928979807,73920
79008967196526,74240
79009007771578,74560
79009047646422,74880
79009087782984,75200
79009127759391,75520
79009167304234,75840
79009207483714,76160
79009247784755,76480
79009287648349,76800
79009327420589,77120
79009368319182,77440
79009407607203,77760
79009447490432,78080
79009488069182,78400
79009527575432,78720
79009568225276,79040
79009608069338,79360
79009647669703,79680
79009687489911,80000
79009728365953,80320
79009768017151,80640
79009807751317,80960
79009848191786,81280
79009887518557,81600
79009927540692,81920
79009967628349,82240
79010007142828,82560
79010047382099,82880
79010088110797,83200
79010128975536,83520
79010167137307,83840
79010207870328,84160
79010247537255,84480
79010288185276,84800
79010327515380,85120
79010367415744,85440
79010407411317,85760
79010447585067,86080
79010488448140,86400
79010526559807,86720
79010567829286,87040
79010607113921,87360
79010646658921,87680
79010687232880,88000
79010727695692,88320
79010767630067,88640
79010807382567,88960
79010847813817,89280
79010887598609,89600
79010927624755,89920
79010967314807,90240
79011007795744,90560
79011047631265,90880
79011087316161,91200
79011127916890,91520
79011167420379,91840
79011207310848,92160
79011246724494,92480
79011287733036,92800
79011328162984,93120
79011367501681,93440
79011407766161,93760
79011446946994,94080
79011487876265,94400
79011527612046,94720
79011568303973,95040
79011608882358,95360
79011647916317,95680
79011687677931,96000
79011727575744,96320
79011767526317,96640
79011807691994,96960
79011847758817,97280
79011887609129,97600
79011927487723,97920
79011967520275,98240
79012008200587,98560
79012047391265,98880
79012087450119,99200
79012127980640,99520
79012167854910,99840
79012207453087,100160
79012247079025,100480
79012287091317,100800
79012326610014,101120
79012367687619,101440
79012407016577,101760
79012447689025,102080
79012487364754,102400
79012527526577,102720
79012567405483,103040
79012607501264,103360
79012647468400,103680
79012688372671,104000
79012727969233,104320
79012767389910,104640
79012807331056,104960
79012847807514,105280
79012887503087,105600
79012927570170,105920
79012967607045,106240
79013007241004,106560
79013046870379,106880
79013087270900,107200
79013126811785,107520
79013167418920,107840
79013209144493,108160
79013247727150,108480
79013286791629,108800
79013327435431,109120
79013367576733,109440
79013406663660,109760
79013447682566,110080
79013487659076,110400
79013527964754,110720
79013567590326,111040
79013607775691,111360
79013647580691,111680
79013687474858,112000
79013727408920,112320
79013767410378,112640
79013808031837,112960
79013848264233,113280
79013888171420,113600
79013928039337,113920
79013966944858,114240
79014008138712,114560
79014047703503,114880
79014087813503,115200
79014128234597,115520
79014167395118,115840
79014207371837,116160
79014247522357,116480
79014287523399,116800
79014327694701,117120
79014368176784,117440
79014407587305,117760
79014447823191,118080
79014488196264,118400
79014527429493,118720
79014568024389,119040
79014607415066,119360
79014647202670,119680
79014687893347,120000
79014727714701,120320
79014767543295,120640
79014807580951,120960
79014847556420,121280
79014887659336,121600
79014928725326,121920
79014967167670,122240
79015007521107,122560
79015047534076,122880
79015087406680,123200
79015127709701,123520
79015167374597,123840
79015207174493,124160
79015248171940,124480
79015287942982,124800
79015326792670,125120
79015366983503,125440
79015407261003,125760
79015447363451,126080
79015488200638,126400
79015527694024,126720
79015567639753,127040
79015607531315,127360
79015647840482,127680
79015687415013,128000
79015727923190,128320
79015768358190,128640
79015807662826,128960
79015847694909,129280
79015887717148,129600
79015927397565,129920
79015967370221,130240
79016007514023,130560
79016047426419,130880
79016087320534,131200
79016127809388,131520
79016167418815,131840
79016207349544,132160
79016247333867,132480
79016287570898,132800
79016328213346,133120
79016368215169,133440
79016407874544,133760
79016447720169,134080
79016488231627,134400
79016527952930,134720
79016569246419,135040
79016607748711,135360
79016647461107,135680
79016688422773,136000
79016727471888,136320
79016767883971,136640
79016807273398,136960
79016847228242,137280
79016888076211,137600
79016928066679,137920
79016968073346,138240
79017007832825,138560
79017049479388,138880
79017087115481,139200
79017127497825,139520
79017167624283,139840
79017208064700,140160
79017247873033,140480
79017287523138,140800
79017327393346,141120
79017367303190,141440
79017407534335,141760
79017447479335,142080
79017492199231,142400
79017527640012,142720
79017566879960,143040
79017607813398,143360
79017647738919,143680
79017690036210,144000
79017726809700,144320
79017768286054,144640
79017807439544,144960
79017847096835,145280
79017887744335,145600
79017927825377,145920
79017967319908,146240
79018008637096,146560
79018048301210,146880
79018088014856,147200
79018127707929,147520
79018167361939,147840
79018207402252,148160
79018247520273,148480
79018287760168,148800
79018327245585,149120
79018367458137,149440
79018408428085,149760
79018447533137,150080
79018487652512,150400
79018527496314,150720
79018567533502,151040
79018608143970,151360
79018647710533,151680
79018687932252,152000
79018728184074,152320
79018767452877,152640
79018808587304,152960
79018847623345,153280
79018887472304,153600
79018927972408,153920
79018967898710,154240
79019007565637,154560
79019048791418,154880
79019087896887,155200
79019127612304,155520
79019169037356,155840
79019207650324,156160
79019249530220,156480
79019286763397,156800
79019327073918,157120
79019369082356,157440
79019408244178,157760
79019449266366,158080
79019488642928,158400
79019527984439,158720
79019568138345,159040
79019608528032,159360
79019647651001,159680
79019687807980,160000
79019726916730,160320
79019767269699,160640
79019808089491,160960
79019848017564,161280
79019890185376,161600
79019927695116,161920
79019968166262,162240
79020011394230,162560
79020048509230,162880
79020088887980,163200
79020127144439,163520
79020167366626,163840
79020207897303,164160
79020248067199,164480
79020288130688,164800
79020328224543,165120
79020367786626,165440
79020407272668,165760
79020447573084,166080
79020487466157,166400
79020528223449,166720
79020567940115,167040
79020608004386,167360
79020648001574,167680
79020688283605,168000
79020729546782,168320
79020768060688,168640
79020808263084,168960
79020849114386,169280
79020888584282,169600
79020927394282,169920
79020967410949,170240
79021008563292,170560
79021046915636,170880
79021089111157,171200
79021129388032,171520
79021172899074,171840
79021208471990,172160
79021247887824,172480
79021287718136,172800
79021327530063,173120
79021367558292,173440
79021406982459,173760
79021448139959,174080
79021488301626,174400
79021528298084,174720
79021567587667,175040
79021607755063,175360
79021648332198,175680
79021687543917,176000
79021728585323,176320
79021767984646,176640
79021807733032,176960
79021847398396,177280
79021887960532,177600
79021927771417,177920
79021967666990,178240
79022008460844,178560
79022046950167,178880
79022087678292,179200
79022127928969,179520
79022167820740,179840
79022207576990,180160
79022250368292,180480
79022286752927,180800
79022327131521,181120
79022366830011,181440
79022406814490,181760
79022447573917,182080
79022486781365,182400
79022526776625,182720
79022567019698,183040
79022606868292,183360
79022648680583,183680
79022688030479,184000
79022726868656,184320
79022767172302,184640
79022807267563,184960
79022848539125,185280
79022887476937,185600
79022926667979,185920
79022967021417,186240
79023007968396,186560
79023047099177,186880
79023086986312,187200
79023127121677,187520
79023167147510,187840
79023207099125,188160
79023247453187,188480
79023287602875,188800
79023327027510,189120
79023367670896,189440
79023407305114,189760
79023447046000,190080
79023487276833,190400
79023527486781,190720
79023567658552,191040
79023607465948,191360
79023647702823,191680
79023687686364,192000
79023727521260,192320
79023767727770,192640
79023807857510,192960
79023847619333,193280
79023887643604,193600
79023928036729,193920
79023967707875,194240
79024008186468,194560
79024049107302,194880
79024087687927,195200
79024128951729,195520
79024167662041,195840
79024207566208,196160
79024247083968,196480
79024287680218,196800
79024328330687,197120
79024366664958,197440
79024407963916,197760
79024447988656,198080
79024489136260,198400
79024528199333,198720
79024567455479,199040
79024608404385,199360
79024647352353,199680
79024687086416,200000
79024727363343,200320
79024767477978,200640
79024807628343,200960
79024847461676,201280
79024887485062,201600
79024927577093,201920
79024966505062,202240
79025008027145,202560
79025047325687,202880
79025087972249,203200
79025127536312,203520
79025167489697,203840
79025207367197,204160
79025247194645,204480
79025287490739,204800
79025327618812,205120
79025367483187,205440
79025407926416,205760
79025447438864,206080
79025487440582,206400
79025527519176,206720
79025567448134,207040
79025607788916,207360
79025647127197,207680
79025688937770,208000
79025727908759,208320
79025766775947,208640
79025807742145,208960
79025848342509,209280
79025887814905,209600
79025928007301,209920
79025967004384,210240
79026014616259,210560
79026047369593,210880
79026086832561,211200
79026127576051,211520
79026167217770,211840
79026207453082,212160
79026247600061,212480
79026286571207,212800
79026326659176,213120
79026367729957,213440
79026407687613,213760
79026448853447,214080
79026487749019,214400
79026528442301,214720
79026567684488,215040
79026607896519,215360
79026647663707,215680
79026687664332,216000
79026728888551,216320
79026766777353,216640
79026807642717,216960
79026846789488,217280
79026886781728,217600
79026927341571,217920
79026966842196,218240
79027006759384,218560
79027047934436,218880
79027087493498,219200
79027126785530,219520
79027167507925,219840
79027207510321,220160
79027247594644,220480
79027288355530,220800
79027327493134,221120
79027367470686,221440
79027407631050,221760
79027447653498,222080
79027488078707,222400
79027528385061,222720
79027567735269,223040
79027607798186,223360
79027647685894,223680
79027687427300,224000
79027727717925,224320
