timestamp_ns,累计采样数
172622058330041,320
172622100567541,640
172622139716343,960
172622179408947,1280
172622219621447,1600
172622261079677,1920
172622303309156,2240
172622342041656,2560
172622379122645,2880
172622420337697,3200
172622459486135,3520
172622503111604,3840
172622541100406,4160
172622579386395,4480
172622619837541,4800
172622659801239,5120
172622699723739,5440
172622739641603,5760
172622779849312,6080
172622819258010,6400
172622860152333,6720
172622899172333,7040
172622939577593,7360
172622979213322,7680
172623020640874,8000
172623060278010,8320
172623099112801,8640
172623139598582,8960
172623180042957,9280
172623219736655,9600
172623259519259,9920
172623299665353,10240
172623339662228,10560
172623379405926,10880
172623419554572,11200
172623459649155,11520
172623500319468,11840
172623539345145,12160
172623579230561,12480
172623620994572,12800
172623659363270,13120
172623699594207,13440
172623739584416,13760
172623780155301,14080
172623820411655,14400
172623859182332,14720
172623899736968,15040
172623942006290,15360
172623979698895,15680
172624019246134,16000
172624059236134,16320
172624099536759,16640
172624139671967,16960
172624183454936,17280
172624219128009,17600
172624259374676,17920
172624299516238,18240
172624340327749,18560
172624379641499,18880
172624419453686,19200
172624461790092,19520
172624501259676,19840
172624540437332,20160
172624579507592,20480
172624620023686,20800
172624660468217,21120
172624699643582,21440
172624739050821,21760
172624780006967,22080
172624819475457,22400
172624859624259,22720
172624900075873,23040
172624939481498,23360
172624979934051,23680
172625019194363,24000
172625059235248,24320
172625099513530,24640
172625139585040,24960
172625179949936,25280
172625219896655,25600
172625260133582,25920
172625299306082,26240
172625339321811,26560
172625382194102,26880
172625419637175,27200
172625459302279,27520
172625499836863,27840
172625540022957,28160
172625580242175,28480
172625624821238,28800
172625659325092,29120
172625699949311,29440
172625740585873,29760
172625780941498,30080
172625819324102,30400
172625859533165,30720
172625899848477,31040
172625940136550,31360
172625980199467,31680
172626019350561,32000
172626060673113,32320
172626099950873,32640
172626140661342,32960
172626179710040,33280
172626219503217,33600
172626259822383,33920
172626299218165,34240
172626339549935,34560
172626381067123,34880
172626419484831,35200
172626459898477,35520
172626499196810,35840
172626540057487,36160
172626580626394,36480
172626620678477,36800
172626659649883,37120
172626699598008,37440
172626740313946,37760
172626779527227,38080
172626819500821,38400
172626860276602,38720
172626899400039,39040
172626940503894,39360
172626980190508,39680
172627019693998,40000
172627059272175,40320
172627099736498,40640
172627140711550,40960
172627179721498,41280
172627219871758,41600
172627260200091,41920
172627300021185,42240
172627340540925,42560
172627380286445,42880
172627419998685,43200
172627459321654,43520
172627500599414,43840
172627543090352,44160
172627579928685,44480
172627619942070,44800
172627659950716,45120
172627700301862,45440
172627741543320,45760
172627781083164,46080
172627819387591,46400
172627859510247,46720
172627899582799,47040
172627939582591,47360
172627980174049,47680
172628019794935,48000
172628060531914,48320
172628099837070,48640
172628139991966,48960
172628180843164,49280
172628219418112,49600
172628259897278,49920
172628300001237,50240
172628340759726,50560
172628381563424,50880
172628420049726,51200
172628459426653,51520
172628500573164,51840
172628540810351,52160
172628580091393,52480
172628620239726,52800
172628660581028,53120
172628700406445,53440
172628740081341,53760
172628779948841,54080
172628820500768,54400
172628859843059,54720
172628899830351,55040
172628939959882,55360
172628979771914,55680
172629020232174,56000
172629059951184,56320
172629103422539,56640
172629141755351,56960
172629180554205,57280
172629220939309,57600
172629260143424,57920
172629301299049,58240
172629339326080,58560
172629379280768,58880
172629419660403,59200
172629460147070,59520
172629499874882,59840
172629539558840,60160
172629581047538,60480
172629619255559,60800
172629660079830,61120
172629700305403,61440
172629740039986,61760
172629779972642,62080
172629822164882,62400
172629859726705,62720
172629900176809,63040
172629939579778,63360
172629980879101,63680
172630019183319,64000
172630059854361,64320
172630100891184,64640
172630139914465,64960
172630180038059,65280
172630220289413,65600
172630259923684,65920
172630299842955,66240
172630339990767,66560
172630379786653,66880
172630420128580,67200
172630460108475,67520
172630499800767,67840
172630540021444,68160
172630579730090,68480
172630619866705,68800
172630659965298,69120
172630699792642,69440
172630739866132,69760
172630780508423,70080
172630820520298,70400
172630859621757,70720
172630899378527,71040
172630939906027,71360
172630980555611,71680
172631019885819,72000
172631060355819,72320
172631099727173,72640
172631139234152,72960
172631180358475,73280
172631220372173,73600
172631260214986,73920
172631299730975,74240
172631340399308,74560
172631381354256,74880
172631420072121,75200
172631459911756,75520
172631499380715,75840
172631539431965,76160
172631581105194,76480
172631619840298,76800
172631659671965,77120
172631700382694,77440
172631739385194,77760
172631780902173,78080
172631819794517,78400
172631860088371,78720
172631899801183,79040
172631939579621,79360
172631979919569,79680
172632020860923,80000
172632060694048,80320
172632100308110,80640
172632139344256,80960
172632179845558,81280
172632221438475,81600
172632259715975,81920
172632299480298,82240
172632339198162,82560
172632379003266,82880
172632420258943,83200
172632459751235,83520
172632500446704,83840
172632539381339,84160
172632579998839,84480
172632619662329,84800
172632659622850,85120
172632700396079,85440
172632740162173,85760
172632780839725,86080
172632820420506,86400
172632859795766,86720
172632899550454,87040
172632941370506,87360
172632980205922,87680
172633019571183,88000
