timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
350348505437097,加速度计,-0.6794,7.3915,7.6561,,,,,,,
350348515453347,加速度计,-0.7171,7.2820,6.8181,,,,,,,
350348525469597,加速度计,-4.8435,5.1888,7.6872,,,,,,,
350348535485847,加速度计,1.7478,8.3031,4.2371,,,,,,,
350348535494024,陀螺仪,,,,,,,,0.0445,-0.0748,0.2089
350348545502097,加速度计,0.4543,7.5920,4.8764,,,,,,,
350348555518347,加速度计,-0.4806,7.3843,5.5498,,,,,,,
350348555526524,陀螺仪,,,,,,,,-0.0236,-0.0878,0.0409
350348565537097,加速度计,-1.0337,6.4488,8.1092,,,,,,,
350348575558347,加速度计,-1.9591,5.9442,9.6121,,,,,,,
350348575569024,陀螺仪,,,,,,,,0.0298,-0.0909,0.0614
350348585579597,加速度计,-0.8978,8.7370,5.5964,,,,,,,
350348595599389,加速度计,0.0449,7.6267,4.8327,,,,,,,
350348595608764,陀螺仪,,,,,,,,0.0048,-0.0459,0.1663
350348605617878,加速度计,0.4812,6.7624,6.2237,,,,,,,
350348615636212,加速度计,-0.2891,7.5399,6.5823,,,,,,,
350348615646212,陀螺仪,,,,,,,,-0.0260,-0.0084,0.1727
350348625656368,加速度计,-0.5471,7.5471,7.6387,,,,,,,
350348635672930,加速度计,-0.2412,6.8959,6.6463,,,,,,,
350348635679649,陀螺仪,,,,,,,,0.0056,-0.0349,0.1803
350348645686264,加速度计,0.1562,6.7636,6.5278,,,,,,,
350348655699597,加速度计,-0.0204,7.2353,5.4312,,,,,,,
350348655706472,陀螺仪,,,,,,,,0.0079,-0.0197,0.1686
350348665713295,加速度计,-0.6440,7.1305,7.1180,,,,,,,
350348675727409,加速度计,-1.0989,7.9739,6.6433,,,,,,,
350348675734857,陀螺仪,,,,,,,,0.0097,0.0198,0.2473
350348685742305,加速度计,-1.1486,7.1838,6.2872,,,,,,,
350348695758034,加速度计,-0.9158,6.8037,8.4533,,,,,,,
350348695766316,陀螺仪,,,,,,,,0.0047,0.0474,0.3537
350348705774597,加速度计,-1.3485,8.0128,9.1686,,,,,,,
350348715791993,加速度计,-1.0044,8.1175,9.4194,,,,,,,
350348715801107,陀螺仪,,,,,,,,0.0606,0.0891,0.4276
350348725810222,加速度计,-1.1959,8.5132,9.4176,,,,,,,
350348735829284,加速度计,-1.8262,7.9655,6.5457,,,,,,,
350348735839232,陀螺仪,,,,,,,,0.1304,0.0975,0.4372
350348745849180,加速度计,-0.8194,6.8845,6.1669,,,,,,,
350348755869909,加速度计,-0.7937,7.5304,5.4091,,,,,,,
350348755880534,陀螺仪,,,,,,,,0.1394,0.0670,0.3651
350348765891107,加速度计,-0.5884,8.5898,3.4477,,,,,,,
350348775912722,加速度计,-0.5495,8.9196,3.0807,,,,,,,
350348775923764,陀螺仪,,,,,,,,0.0823,-0.0057,0.2455
350348785934753,加速度计,-0.2514,6.6637,4.0546,,,,,,,
350348795956837,加速度计,0.1640,7.4011,3.1699,,,,,,,
350348795967930,陀螺仪,,,,,,,,-0.0005,-0.0527,0.1566
350348805978920,加速度计,-0.0976,6.9827,5.9747,,,,,,,
350348815999180,加速度计,-0.0431,7.5705,3.9780,,,,,,,
350348816008607,陀螺仪,,,,,,,,-0.0225,-0.0626,0.1158
350348826017722,加速度计,-0.2586,6.4697,6.9013,,,,,,,
350348836036055,加速度计,0.3334,8.4479,7.4346,,,,,,,
350348836045118,陀螺仪,,,,,,,,-0.0329,-0.0497,0.1746
350348846054024,加速度计,0.4322,8.1630,7.9128,,,,,,,
350348856071941,加速度计,1.1157,8.0373,5.1272,,,,,,,
350348856080951,陀螺仪,,,,,,,,0.0064,-0.0081,0.2077
350348866089857,加速度计,1.6771,7.8602,4.6663,,,,,,,
350348876111524,加速度计,0.5728,8.7933,5.7527,,,,,,,
350348876121212,陀螺仪,,,,,,,,-0.0505,0.0067,0.1917
350348886127409,加速度计,0.6321,7.6968,6.4835,,,,,,,
350348896139909,加速度计,0.6500,8.7789,5.3463,,,,,,,
350348906152774,加速度计,0.3885,8.1499,7.1784,,,,,,,
350348896146368,陀螺仪,,,,,,,,-0.0652,0.0290,0.2028
350348916166055,加速度计,0.6434,7.7291,6.3333,,,,,,,
350348916173087,陀螺仪,,,,,,,,-0.0509,0.0682,0.2515
350348926180118,加速度计,0.5351,7.7177,6.3686,,,,,,,
350348936195014,加速度计,-0.1095,8.7466,3.4560,,,,,,,
350348936202878,陀螺仪,,,,,,,,-0.0459,0.1196,0.3084
350348946210743,加速度计,-0.0802,7.2000,5.4636,,,,,,,
350348956227305,加速度计,-0.0042,8.2552,5.1392,,,,,,,
350348956236003,陀螺仪,,,,,,,,-0.0751,0.1618,0.3695
350348966244701,加速度计,-0.2328,9.1740,4.3742,,,,,,,
350348976262930,加速度计,-0.2652,7.9422,5.1601,,,,,,,
350348976272462,陀螺仪,,,,,,,,-0.1326,0.1688,0.3767
350348986281993,加速度计,-0.8918,6.3422,6.0968,,,,,,,
350348996301889,加速度计,-0.1778,6.9270,5.6210,,,,,,,
350349006322618,加速度计,-0.3837,6.9282,6.4590,,,,,,,
350348996312253,陀螺仪,,,,,,,,-0.1241,0.1790,0.3819
350349016343816,加速度计,0.1987,7.3304,6.5493,,,,,,,
350349016354649,陀螺仪,,,,,,,,-0.0786,0.1983,0.3550
350349026365430,加速度计,0.2640,8.4886,6.4973,,,,,,,
350349036387462,加速度计,-0.5321,7.6926,7.2407,,,,,,,
350349036398555,陀螺仪,,,,,,,,-0.0617,0.2072,0.3350
350349046409545,加速度计,0.0413,7.9667,8.2355,,,,,,,
350349056431628,加速度计,0.6015,8.4695,8.8340,,,,,,,
350349056442566,陀螺仪,,,,,,,,0.0095,0.2425,0.3728
350349066453347,加速度计,0.6123,7.8835,6.3985,,,,,,,
350349076472097,加速度计,1.8184,7.6124,5.2499,,,,,,,
350349076481159,陀螺仪,,,,,,,,0.0194,0.2975,0.4139
350349086490066,加速度计,1.3156,7.0844,4.4849,,,,,,,
350349096507982,加速度计,0.9732,6.3117,6.1453,,,,,,,
350349096516993,陀螺仪,,,,,,,,-0.0097,0.3530,0.4250
350349106525899,加速度计,1.2815,7.1808,8.2959,,,,,,,
350349116543816,加速度计,1.6706,7.9787,9.3547,,,,,,,
350349116552982,陀螺仪,,,,,,,,0.0411,0.4250,0.4477
350349126562462,加速度计,1.6041,8.0888,6.8271,,,,,,,
350349136580795,加速度计,1.2695,6.7959,6.0238,,,,,,,
350349136604128,陀螺仪,,,,,,,,0.0570,0.4486,0.3920
350349146605118,加速度计,0.9732,6.5176,5.5109,,,,,,,
350349156607462,加速度计,1.4826,7.4986,6.3620,,,,,,,
350349156608920,陀螺仪,,,,,,,,0.0241,0.4236,0.3063
350349166610743,加速度计,1.7573,7.4675,7.1982,,,,,,,
350349176615534,加速度计,1.6945,6.8570,7.6974,,,,,,,
350349176618555,陀螺仪,,,,,,,,0.0079,0.3559,0.1344
350349186622253,加速度计,1.3240,5.9634,7.8135,,,,,,,
350349196631316,加速度计,1.8232,6.0495,6.8552,,,,,,,
350349196636680,陀螺仪,,,,,,,,0.0374,0.2482,-0.0827
350349206642878,加速度计,1.7777,7.0150,7.4172,,,,,,,
350349216657201,加速度计,0.8559,7.5567,8.4354,,,,,,,
350349216665326,陀螺仪,,,,,,,,0.0557,0.1176,-0.3280
350349226674441,加速度计,0.0748,7.4310,8.2283,,,,,,,
350349236694337,加速度计,0.1006,7.4891,6.2662,,,,,,,
350349236705118,陀螺仪,,,,,,,,0.0883,-0.0193,-0.5400
350349246716732,加速度计,-0.5914,7.1922,4.2365,,,,,,,
350349256741368,加速度计,-0.5836,5.9783,5.4594,,,,,,,
350349256754337,陀螺仪,,,,,,,,0.0579,-0.1815,-0.7009
350349266767826,加速度计,-0.5968,7.7249,6.3560,,,,,,,
350349276795691,加速度计,-1.0157,7.8254,8.4647,,,,,,,
350349276810014,陀螺仪,,,,,,,,0.0691,-0.3061,-0.8137
350349286824545,加速度计,-1.2851,8.4443,8.1487,,,,,,,
350349296853972,加速度计,-1.0409,8.7233,6.3315,,,,,,,
350349296868816,陀螺仪,,,,,,,,0.1324,-0.3746,-0.8300
350349306883555,加速度计,-1.3264,8.4246,3.4034,,,,,,,
350349316907149,加速度计,-0.6422,7.0485,5.0458,,,,,,,
350349316916993,陀螺仪,,,,,,,,0.0799,-0.4262,-0.7959
350349326926107,加速度计,-1.1756,7.6106,4.1150,,,,,,,
350349336944441,加速度计,-0.0221,8.2642,5.6024,,,,,,,
350349336953607,陀螺仪,,,,,,,,0.0429,-0.4218,-0.6871
350349346962514,加速度计,-0.4274,7.5848,6.3530,,,,,,,
350349356980430,加速度计,-0.1616,6.9318,5.1523,,,,,,,
350349356989441,陀螺仪,,,,,,,,0.0354,-0.3313,-0.4920
350349366998347,加速度计,0.4202,7.1545,5.4534,,,,,,,
350349377029701,加速度计,0.7823,6.7582,8.8406,,,,,,,
350349377032462,陀螺仪,,,,,,,,0.0216,-0.2301,-0.2799
350349387035118,加速度计,0.3819,7.0892,8.9932,,,,,,,
350349397040951,加速度计,0.8703,8.6125,7.7572,,,,,,,
350349397044337,陀螺仪,,,,,,,,0.1178,-0.1156,-0.0848
350349407047618,加速度计,0.9589,9.5583,4.5550,,,,,,,
350349417055534,加速度计,0.9505,5.9466,6.8857,,,,,,,
350349427065118,加速度计,1.0870,6.1752,6.0268,,,,,,,
350349417060378,陀螺仪,,,,,,,,0.0712,-0.0530,0.0237
350349437076368,加速度计,0.3998,9.5870,5.9358,,,,,,,
350349437083087,陀螺仪,,,,,,,,0.0944,0.0431,0.1119
350349447089701,加速度计,-0.8787,8.0451,4.6531,,,,,,,
350349457105118,加速度计,-1.4539,5.7874,7.0300,,,,,,,
350349457113920,陀螺仪,,,,,,,,-0.0019,0.1157,0.2762
350349467122618,加速度计,-2.0686,5.3349,7.1090,,,,,,,
350349477142201,加速度计,-1.1869,7.1874,6.1381,,,,,,,
350349487163868,加速度计,-1.1768,9.0489,4.1372,,,,,,,
350349477153087,陀螺仪,,,,,,,,0.0217,0.1234,0.3538
350349497187201,加速度计,0.0287,6.6888,8.6449,,,,,,,
350349507212201,加速度计,-1.0624,7.1168,3.5195,,,,,,,
350349497199753,陀螺仪,,,,,,,,-0.0137,0.0759,0.2376
350349517238451,加速度计,-0.6572,8.4886,9.1093,,,,,,,
350349517252045,陀螺仪,,,,,,,,-0.0076,0.0605,0.1668
350349527265534,加速度计,-0.6764,9.8815,9.5553,,,,,,,
350349537293034,加速度计,1.0762,9.3099,3.5698,,,,,,,
350349537306837,陀螺仪,,,,,,,,0.0688,0.1068,0.1815
350349547320534,加速度计,1.1947,8.9513,1.0936,,,,,,,
350349557344284,加速度计,0.0389,5.9047,1.2444,,,,,,,
350349567362201,加速度计,-0.5561,8.1678,12.0333,,,,,,,
350349557353295,陀螺仪,,,,,,,,-0.1019,0.0816,0.1218
350349577380118,加速度计,1.3575,13.0047,9.1812,,,,,,,
350349577389128,陀螺仪,,,,,,,,0.0292,0.0969,0.1787
350349587398034,加速度计,2.2709,9.2674,3.9684,,,,,,,
350349597415951,加速度计,2.5935,4.1306,2.9802,,,,,,,
350349597424962,陀螺仪,,,,,,,,0.0061,0.0957,0.0702
350349607433868,加速度计,-0.9278,3.5326,-0.7195,,,,,,,
350349617451784,加速度计,0.0796,7.8087,9.1399,,,,,,,
350349617462253,陀螺仪,,,,,,,,-0.0381,0.0522,0.0848
350349627477930,加速度计,2.5085,14.9961,6.4919,,,,,,,
350349637489597,加速度计,0.8817,9.2626,3.6290,,,,,,,
350349637495482,陀螺仪,,,,,,,,-0.0643,0.0158,-0.0067
350349647501264,加速度计,-1.5251,3.0801,4.9033,,,,,,,
350349657513347,加速度计,-3.9175,5.2804,1.3886,,,,,,,
350349657519649,陀螺仪,,,,,,,,-0.1190,0.0051,0.2320
350349667525847,加速度计,9.2428,9.0447,13.3531,,,,,,,
350349677539180,加速度计,1.9100,11.8387,12.6091,,,,,,,
350349677546316,陀螺仪,,,,,,,,-0.0020,0.0844,-0.0088
350349687553347,加速度计,0.4998,6.4410,-0.9032,,,,,,,
350349697568347,加速度计,-3.9031,0.3502,-1.4156,,,,,,,
