timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
70051204590875,加速度计,-1.4928,6.8582,6.7959,,,,,,,
70051214607959,加速度计,-1.5161,6.7744,6.7852,,,,,,,
70051224625875,加速度计,-1.3773,6.6589,6.9875,,,,,,,
70051234644625,加速度计,-1.3737,6.7026,7.0605,,,,,,,
70051244662750,加速度计,-1.4090,6.7840,6.9941,,,,,,,
70051254680667,加速度计,-1.4647,6.8001,6.9139,,,,,,,
70051264698584,加速度计,-1.4293,6.7780,6.8564,,,,,,,
70051272221032,陀螺仪,,,,,,,,-0.0027,0.0039,-0.0317
70051274716500,加速度计,-1.3791,6.8085,6.8552,,,,,,,
70051284741657,加速度计,-1.2839,6.9408,6.8313,,,,,,,
70051294760771,加速度计,-1.3240,7.0707,6.7756,,,,,,,
70051292260719,陀螺仪,,,,,,,,-0.0041,0.0265,-0.0055
70051304760615,加速度计,-1.3330,6.8049,6.8265,,,,,,,
70051314761396,加速度计,-2.3966,6.8259,6.6134,,,,,,,
70051312261761,陀螺仪,,,,,,,,-0.0025,0.0361,0.0127
70051324763688,加速度计,-2.5331,6.9965,6.6601,,,,,,,
70051334768167,加速度计,-1.8208,7.0461,6.9378,,,,,,,
70051332269573,陀螺仪,,,,,,,,-0.0020,0.0362,0.0461
70051344775407,加速度计,-1.5269,7.1401,6.9174,,,,,,,
70051352288427,陀螺仪,,,,,,,,-0.0004,0.0414,0.0173
70051354785563,加速度计,-1.8280,7.1192,6.7606,,,,,,,
70051364798896,加速度计,-2.5408,6.8738,6.2513,,,,,,,
70051372320094,陀螺仪,,,,,,,,-0.0020,0.0305,0.0415
70051374815563,加速度计,-2.1063,6.7427,6.5446,,,,,,,
70051384835563,加速度计,-1.6334,7.2059,6.6858,,,,,,,
70051394858636,加速度计,-1.0953,7.4083,6.7582,,,,,,,
70051392364730,陀螺仪,,,,,,,,0.0020,0.0324,0.0623
70051404884365,加速度计,-0.9984,7.2999,6.6966,,,,,,,
70051412419573,陀螺仪,,,,,,,,-0.0003,0.0369,0.0260
70051414912334,加速度计,-1.1660,7.0479,6.3943,,,,,,,
70051424942125,加速度计,-1.5550,6.7564,6.6643,,,,,,,
70051434973063,加速度计,-1.6125,6.7750,6.8516,,,,,,,
70051432480927,陀螺仪,,,,,,,,-0.0003,0.0182,0.0097
70051445004573,加速度计,-1.3234,6.8732,6.9683,,,,,,,
70051452544209,陀螺仪,,,,,,,,0.0031,-0.0055,-0.0244
70051455036240,加速度计,-1.1444,6.9228,7.0312,,,,,,,
70051465061396,加速度计,-1.1295,6.8845,6.7702,,,,,,,
70051472585094,陀螺仪,,,,,,,,-0.0008,-0.0188,-0.0851
70051475080563,加速度计,-1.4503,6.7289,6.7534,,,,,,,
70051485098480,加速度计,-2.1231,6.5116,7.1042,,,,,,,
70051492620927,陀螺仪,,,,,,,,-0.0003,-0.0336,-0.0892
70051495116396,加速度计,-1.3755,6.9282,6.9246,,,,,,,
70051505134313,加速度计,-1.7047,6.8384,7.1443,,,,,,,
70051512656761,陀螺仪,,,,,,,,0.0000,-0.0368,-0.0996
70051515152230,加速度计,-1.4670,6.9396,6.7852,,,,,,,
70051525170146,加速度计,-1.7591,6.6798,6.7630,,,,,,,
70051535188063,加速度计,-2.3547,6.3710,6.8360,,,,,,,
70051532692594,陀螺仪,,,,,,,,0.0055,-0.0328,-0.0931
70051545205980,加速度计,-4.6035,6.1489,6.6248,,,,,,,
70051555223896,加速度计,1.0822,7.1820,7.6178,,,,,,,
70051552728427,陀螺仪,,,,,,,,0.0204,0.0091,0.0397
70051565241813,加速度计,-3.5308,8.9621,5.4402,,,,,,,
70051572764261,陀螺仪,,,,,,,,-0.0321,0.0216,-0.0064
70051575259730,加速度计,-2.2883,7.1168,7.1551,,,,,,,
70051585277646,加速度计,-3.8146,5.7814,7.0779,,,,,,,
70051592800094,陀螺仪,,,,,,,,0.0189,0.0409,0.1407
70051595295563,加速度计,-3.0634,5.4468,6.8468,,,,,,,
70051605313480,加速度计,-2.8317,7.6920,6.1651,,,,,,,
70051612835927,陀螺仪,,,,,,,,0.0204,0.0871,0.2630
70051615331396,加速度计,-2.1512,8.3396,6.6319,,,,,,,
70051625349313,加速度计,-2.5624,7.6213,7.4202,,,,,,,
70051635367230,加速度计,-2.1697,5.8945,8.0685,,,,,,,
70051632871761,陀螺仪,,,,,,,,0.0248,0.1101,0.2810
70051645385146,加速度计,-2.8000,6.0017,6.6134,,,,,,,
70051652907594,陀螺仪,,,,,,,,0.0529,0.0878,0.2925
70051655403063,加速度计,-3.0700,6.4506,5.7688,,,,,,,
70051665420980,加速度计,-2.7402,7.1192,6.2920,,,,,,,
70051672943427,陀螺仪,,,,,,,,0.0178,0.0886,0.3487
70051675438896,加速度计,-2.1326,7.1210,6.9755,,,,,,,
70051685456813,加速度计,-1.2953,6.8935,7.3933,,,,,,,
70051695474730,加速度计,-2.4720,7.1515,6.0352,,,,,,,
70051692979261,陀螺仪,,,,,,,,0.0264,0.2127,0.4855
70051705492646,加速度计,-3.2322,7.5178,5.0434,,,,,,,
70051713015094,陀螺仪,,,,,,,,0.0071,0.3529,0.7606
70051715510563,加速度计,-3.0915,7.9104,5.6976,,,,,,,
70051725528480,加速度计,-2.8437,8.0607,5.7006,,,,,,,
70051735546396,加速度计,-1.5263,8.5730,5.7742,,,,,,,
70051733050927,陀螺仪,,,,,,,,0.0162,0.4558,1.0037
70051745564313,加速度计,-1.1331,9.0758,4.9979,,,,,,,
70051753086761,陀螺仪,,,,,,,,0.0201,0.5390,1.1016
70051755582230,加速度计,-1.2510,9.3631,4.3287,,,,,,,
70051765600146,加速度计,-1.4898,9.2578,4.4478,,,,,,,
70051773122594,陀螺仪,,,,,,,,0.0224,0.5643,1.1494
70051775618063,加速度计,-1.4246,9.2135,4.5346,,,,,,,
70051785641084,加速度计,-2.2092,9.4954,4.5203,,,,,,,
70051793166396,陀螺仪,,,,,,,,0.0373,0.5249,1.1803
70051795661865,加速度计,-2.2021,9.7648,4.4131,,,,,,,
70051805679782,加速度计,-1.2779,9.9455,4.3862,,,,,,,
70051815697698,加速度计,-1.8944,10.1209,3.7320,,,,,,,
70051813202230,陀螺仪,,,,,,,,0.0405,0.4895,1.1364
70051825715615,加速度计,-1.5634,9.7905,3.5674,,,,,,,
70051835733532,加速度计,-1.7609,9.4691,3.1663,,,,,,,
70051833238063,陀螺仪,,,,,,,,0.0284,0.4852,1.0932
70051845751448,加速度计,-1.9136,8.9836,4.9620,,,,,,,
70051855769365,加速度计,-2.5576,9.7414,5.2780,,,,,,,
70051853273896,陀螺仪,,,,,,,,0.0527,0.4867,1.1120
70051865787282,加速度计,-2.5654,9.3835,5.5031,,,,,,,
70051875805198,加速度计,-1.7603,8.9783,5.1152,,,,,,,
70051873309730,陀螺仪,,,,,,,,0.0732,0.4720,1.1562
70051885823115,加速度计,-0.9218,8.4695,4.8088,,,,,,,
70051895841032,加速度计,-0.3394,8.3228,5.1828,,,,,,,
70051893345563,陀螺仪,,,,,,,,0.0617,0.4414,1.0228
70051905858948,加速度计,-0.1592,7.9069,6.5583,,,,,,,
70051915876865,加速度计,0.9433,7.6489,13.1514,,,,,,,
70051913381396,陀螺仪,,,,,,,,0.0534,0.4481,0.8744
70051925894782,加速度计,-0.7177,5.7724,11.4108,,,,,,,
70051935912698,加速度计,-0.8565,6.5170,3.7224,,,,,,,
70051933417230,陀螺仪,,,,,,,,0.1760,0.4875,0.9266
70051945930615,加速度计,2.7539,9.2045,2.7294,,,,,,,
70051955948532,加速度计,5.7533,6.3357,2.9562,,,,,,,
70051953453063,陀螺仪,,,,,,,,0.0889,0.5144,0.8155
70051965966448,加速度计,0.9559,2.5857,4.3634,,,,,,,
70051975984365,加速度计,-0.6734,3.9217,4.8117,,,,,,,
70051973488896,陀螺仪,,,,,,,,-0.0332,0.4479,0.3922
70051986002282,加速度计,-2.0674,7.8087,5.4827,,,,,,,
70051996020198,加速度计,-5.4875,9.9910,8.4731,,,,,,,
70051993524730,陀螺仪,,,,,,,,-0.0704,0.2752,0.2535
70052006038115,加速度计,-6.3602,9.1530,11.4676,,,,,,,
70052013560563,陀螺仪,,,,,,,,-0.0209,0.0700,0.5041
70052016056032,加速度计,-1.0947,7.9374,8.8041,,,,,,,
70052026076292,加速度计,2.3014,8.3420,4.9757,,,,,,,
70052033604990,陀螺仪,,,,,,,,0.0217,0.0435,0.3688
70052036102855,加速度计,3.7092,7.8799,1.2306,,,,,,,
70052046111188,加速度计,2.8066,7.3017,3.3543,,,,,,,
70052053621969,陀螺仪,,,,,,,,-0.0068,0.1153,0.1469
70052056119730,加速度计,0.2885,9.2775,2.8180,,,,,,,
70052066128896,加速度计,-2.0273,10.4860,4.8572,,,,,,,
70052076139105,加速度计,-3.3220,11.8411,5.0494,,,,,,,
70052073641865,陀螺仪,,,,,,,,-0.0296,0.0953,0.2340
70052086150771,加速度计,-1.9836,11.1115,3.9851,,,,,,,
70052096164105,加速度计,-0.6135,9.7133,4.7758,,,,,,,
70052093667698,陀螺仪,,,,,,,,-0.0222,0.0687,0.3915
70052106179105,加速度计,0.1275,10.0251,1.9585,,,,,,,
70052116195771,加速度计,-0.4112,8.3396,2.3290,,,,,,,
70052113700198,陀螺仪,,,,,,,,-0.0403,0.1276,0.3848
70052126214105,加速度计,-0.5112,9.1135,2.4140,,,,,,,
70052136234105,加速度计,-1.4419,10.4351,3.2597,,,,,,,
70052133739365,陀螺仪,,,,,,,,-0.0519,0.2056,0.4273
70052146255771,加速度计,-2.1278,10.5028,5.1745,,,,,,,
70052153784886,陀螺仪,,,,,,,,-0.0652,0.2165,0.5746
70052156278896,加速度计,-1.3030,10.1245,6.5224,,,,,,,
70052166303063,加速度计,-0.2131,9.5804,6.5841,,,,,,,
70052173834469,陀螺仪,,,,,,,,0.0108,0.1961,0.5531
70052176328063,加速度计,-0.1131,8.5305,6.3464,,,,,,,
70052186353688,加速度计,-0.1945,8.2289,4.4083,,,,,,,
70052196379521,加速度计,0.6452,8.2480,2.2757,,,,,,,
70052193886032,陀螺仪,,,,,,,,0.0643,0.1285,0.3599
70052206404105,加速度计,0.9541,8.5150,2.3810,,,,,,,
70052213929573,陀螺仪,,,,,,,,0.0431,0.0173,0.0652
70052216424938,加速度计,1.3402,8.8053,2.9431,,,,,,,
70052226443063,加速度计,2.1650,9.8031,4.1025,,,,,,,
70052233965511,陀螺仪,,,,,,,,0.0409,-0.1442,-0.2766
70052236460980,加速度计,2.2607,10.6482,3.5943,,,,,,,
70052246478896,加速度计,2.3834,9.6133,5.2792,,,,,,,
70052256496813,加速度计,1.9704,10.5937,0.4453,,,,,,,
70052254001344,陀螺仪,,,,,,,,0.0581,-0.3397,-0.6361
70052266514730,加速度计,2.0668,10.9529,3.6009,,,,,,,
70052274039677,陀螺仪,,,,,,,,-0.0138,-0.4923,-0.8723
70052276534313,加速度计,1.3012,10.7542,3.3441,,,,,,,
70052286555927,加速度计,0.7147,8.8274,6.0490,,,,,,,
70052294069000,陀螺仪,,,,,,,,0.0742,-0.4811,-0.8693
70052296566344,加速度计,4.4700,11.2300,5.3612,,,,,,,
70052306576969,加速度计,1.4144,8.1499,5.5007,,,,,,,
70052314091188,陀螺仪,,,,,,,,0.0241,-0.3366,-0.6003
70052316588219,加速度计,-1.8800,7.8260,7.1377,,,,,,,
70052326600302,加速度计,2.7647,9.9982,3.9696,,,,,,,
70052334116917,陀螺仪,,,,,,,,0.0989,-0.0786,-0.1638
70052336613427,加速度计,1.6490,10.1640,4.1126,,,,,,,
70052346627802,加速度计,-1.0930,8.2247,2.7587,,,,,,,
70052356643427,加速度计,-2.2930,7.1688,5.5007,,,,,,,
70052354147542,陀螺仪,,,,,,,,0.0021,0.1570,0.3348
70052366660302,加速度计,0.5429,9.1848,6.9438,,,,,,,
70052376678427,加速度计,-1.4904,9.5397,5.3959,,,,,,,
70052374183167,陀螺仪,,,,,,,,0.0478,0.3807,0.7203
70052386697802,加速度计,-1.8094,8.7197,7.8620,,,,,,,
70052394223792,陀螺仪,,,,,,,,0.0759,0.5481,0.9369
70052396718427,加速度计,-3.6613,7.3658,4.8040,,,,,,,
70052406740094,加速度计,-5.7898,8.3270,2.0393,,,,,,,
70052416762594,加速度计,-2.7324,7.8470,5.8191,,,,,,,
70052414268375,陀螺仪,,,,,,,,0.0364,0.5587,1.0446
70052426785719,加速度计,-5.1918,7.6944,5.3498,,,,,,,
70052434315250,陀螺仪,,,,,,,,-0.0619,0.4296,0.8886
70052436809261,加速度计,-5.0242,7.8243,8.8472,,,,,,,
