timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
78999390482597,加速度计,-0.2867,7.4154,6.5080,,,,,,,
78999400502389,加速度计,-0.3202,7.3694,6.4961,,,,,,,
78999410521451,加速度计,-0.3597,7.3304,6.5577,,,,,,,
78999420540201,加速度计,-0.3460,7.3789,6.5631,,,,,,,
78999430558951,加速度计,-0.3226,7.4478,6.5529,,,,,,,
78999440578847,加速度计,-0.3100,7.4627,6.5194,,,,,,,
78999450599524,加速度计,-0.3065,7.4286,6.4979,,,,,,,
78999453111764,陀螺仪,,,,,,,,-0.0079,-0.0254,0.0353
78999460615774,加速度计,-0.3184,7.3879,6.5086,,,,,,,
78999470636868,加速度计,-0.2448,7.4124,6.5134,,,,,,,
78999473151191,陀螺仪,,,,,,,,-0.0093,-0.0213,0.0467
78999480655305,加速度计,-0.1927,7.4352,6.5176,,,,,,,
78999490671972,加速度计,-0.1598,7.4220,6.5386,,,,,,,
78999507105540,GPS,,,,31.9407,118.7900,0.0000,,,,
78999493184524,陀螺仪,,,,,,,,-0.0088,-0.0137,0.0605
78999500688639,加速度计,-0.0766,7.3795,6.5314,,,,,,,
78999510705305,加速度计,-0.0012,7.3275,6.5368,,,,,,,
78999513217858,陀螺仪,,,,,,,,-0.0083,-0.0029,0.0712
78999520721972,加速度计,0.0670,7.3263,6.5481,,,,,,,
78999530739003,加速度计,0.1143,7.3352,6.5739,,,,,,,
78999533252128,陀螺仪,,,,,,,,-0.0056,0.0061,0.0759
78999540756451,加速度计,0.1652,7.3448,6.5948,,,,,,,
78999550774316,加速度计,0.1532,7.3508,6.6044,,,,,,,
78999553288066,陀螺仪,,,,,,,,-0.0056,0.0108,0.0772
78999560792597,加速度计,0.1838,7.3400,6.5960,,,,,,,
78999570811295,加速度计,0.1826,7.3430,6.5529,,,,,,,
78999573325670,陀螺仪,,,,,,,,-0.0044,0.0105,0.0700
78999580830410,加速度计,0.1736,7.3646,6.5463,,,,,,,
78999590849941,加速度计,0.1814,7.4101,6.5404,,,,,,,
78999593364941,陀螺仪,,,,,,,,-0.0043,0.0023,0.0514
78999600869889,加速度计,0.1077,7.4675,6.5134,,,,,,,
78999610890253,加速度计,0.0826,7.4729,6.4787,,,,,,,
78999613405878,陀螺仪,,,,,,,,-0.0045,-0.0146,0.0238
78999620911035,加速度计,0.0269,7.4974,6.4087,,,,,,,
78999630931868,加速度计,0.0557,7.5328,6.3680,,,,,,,
78999633447545,陀螺仪,,,,,,,,-0.0045,-0.0288,0.0011
78999640952701,加速度计,0.0724,7.5537,6.3644,,,,,,,
78999650973535,加速度计,0.0587,7.5579,6.3656,,,,,,,
78999653489212,陀螺仪,,,,,,,,-0.0044,-0.0338,-0.0117
78999660994368,加速度计,0.0443,7.5699,6.3500,,,,,,,
78999671015201,加速度计,0.0275,7.5609,6.3416,,,,,,,
78999673530878,陀螺仪,,,,,,,,-0.0027,-0.0296,-0.0077
78999681036035,加速度计,0.0437,7.5220,6.3285,,,,,,,
78999691055774,加速度计,0.0473,7.4693,6.3572,,,,,,,
78999693570253,陀螺仪,,,,,,,,-0.0020,-0.0208,0.0047
78999701074993,加速度计,0.0329,7.4017,6.4087,,,,,,,
78999711093795,加速度计,0.0018,7.2544,6.4913,,,,,,,
78999713611764,陀螺仪,,,,,,,,0.0001,-0.0113,0.0152
78999721115149,加速度计,0.0551,7.1557,6.5948,,,,,,,
78999731128899,加速度计,0.3496,7.1395,6.8085,,,,,,,
78999741142910,加速度计,1.0121,7.0713,7.1485,,,,,,,
78999733639420,陀螺仪,,,,,,,,0.0009,-0.0039,0.0233
78999751157337,加速度计,1.7142,7.0569,7.5280,,,,,,,
78999753668483,陀螺仪,,,,,,,,0.0029,0.0325,0.0178
78999761172180,加速度计,2.0027,7.0976,7.7931,,,,,,,
78999771187701,加速度计,2.1015,7.1275,7.9051,,,,,,,
78999773699941,陀螺仪,,,,,,,,0.0065,0.0957,0.0222
78999781204055,加速度计,1.7316,6.2740,7.6369,,,,,,,
78999791221243,加速度计,1.0205,5.2385,7.1658,,,,,,,
78999793734733,陀螺仪,,,,,,,,0.0146,0.1451,0.0598
78999801239264,加速度计,0.2975,5.4001,6.8522,,,,,,,
78999811258118,加速度计,-0.2221,6.6391,6.9013,,,,,,,
78999821277805,加速度计,0.1077,7.6836,7.3442,,,,,,,
78999813772858,陀螺仪,,,,,,,,0.0133,0.1140,0.0350
78999831298326,加速度计,0.1706,7.6237,7.8500,,,,,,,
78999833814316,陀螺仪,,,,,,,,0.0225,0.0269,-0.1308
78999841319680,加速度计,-0.4088,7.2700,6.9133,,,,,,,
78999851341608,加速度计,-0.9403,7.0521,5.8083,,,,,,,
78999853858378,陀螺仪,,,,,,,,0.0260,-0.0529,-0.2526
78999861363951,加速度计,-0.8033,7.2107,5.6934,,,,,,,
78999871386712,加速度计,-0.2855,7.5663,6.5894,,,,,,,
78999873903951,陀螺仪,,,,,,,,0.0023,-0.0690,-0.2397
78999881409628,加速度计,0.3502,7.6848,7.4543,,,,,,,
78999891432545,加速度计,0.3903,7.0024,7.6728,,,,,,,
78999901455201,加速度计,-1.3132,4.9608,6.4637,,,,,,,
78999893949628,陀螺仪,,,,,,,,0.0258,-0.0152,-0.1819
78999911475618,加速度计,-1.5856,7.6213,5.1074,,,,,,,
78999913989889,陀螺仪,,,,,,,,0.0391,0.0033,-0.0716
78999921494524,加速度计,0.7733,8.0966,4.9183,,,,,,,
78999931513274,加速度计,0.6955,9.5654,5.5569,,,,,,,
78999941532024,加速度计,-1.2079,9.8078,5.4899,,,,,,,
78999934027389,陀螺仪,,,,,,,,0.0145,0.0413,-0.1112
78999951550774,加速度计,-1.6712,8.7544,5.5935,,,,,,,
78999954065670,陀螺仪,,,,,,,,0.0019,0.1216,0.0344
78999961570826,加速度计,-3.0221,7.0970,6.7918,,,,,,,
78999971592649,加速度计,-0.7063,7.1299,6.6565,,,,,,,
78999974102701,陀螺仪,,,,,,,,0.0268,0.2007,0.2396
78999981605983,加速度计,-0.1101,7.2796,6.5116,,,,,,,
78999991619524,加速度计,-0.0551,7.8967,5.7844,,,,,,,
79000001633483,加速度计,0.6524,7.7045,6.5314,,,,,,,
78999994129993,陀螺仪,,,,,,,,0.0205,0.2284,0.2443
79000011648066,加速度计,0.3525,7.5429,6.5793,,,,,,,
79000032182936,GPS,,,,31.9407,118.7900,0.0000,0.0000,,,
79000021663483,加速度计,0.1712,6.7337,7.4053,,,,,,,
79000014159576,陀螺仪,,,,,,,,0.0111,0.1972,0.1884
79000031679733,加速度计,-1.3108,6.6762,6.5673,,,,,,,
79000034192493,陀螺仪,,,,,,,,0.0274,0.1740,0.2169
79000041696816,加速度计,2.1255,7.9074,6.0932,,,,,,,
79000051714733,加速度计,2.7246,7.6956,6.7163,,,,,,,
79000054228743,陀螺仪,,,,,,,,0.0100,0.2019,0.1075
79000061733483,加速度计,0.6865,7.3185,6.4536,,,,,,,
79000071753066,加速度计,-1.2516,6.9180,6.2638,,,,,,,
79000074268326,陀螺仪,,,,,,,,0.0357,0.1599,0.0751
79000081773483,加速度计,-0.3531,7.9930,5.2559,,,,,,,
79000091794733,加速度计,1.5526,8.7795,4.9698,,,,,,,
79000094311139,陀螺仪,,,,,,,,0.0152,0.1425,0.0767
79000101816608,加速度计,2.0524,8.4737,5.7898,,,,,,,
79000111838899,加速度计,1.3563,7.7698,6.2429,,,,,,,
79000121861608,加速度计,0.9798,7.7111,5.7527,,,,,,,
79000114355930,陀螺仪,,,,,,,,0.0330,0.1622,-0.0091
79000131884524,加速度计,0.2693,8.8041,4.3838,,,,,,,
79000134401764,陀螺仪,,,,,,,,0.0530,0.1277,-0.0463
79000141907441,加速度计,-1.1396,9.3440,4.0336,,,,,,,
79000151930358,加速度计,-0.7446,8.8101,5.6288,,,,,,,
79000154446868,陀螺仪,,,,,,,,0.0224,0.0427,-0.0642
79000161951816,加速度计,0.0257,8.9962,5.5282,,,,,,,
79000171971399,加速度计,0.8769,8.7556,5.3463,,,,,,,
