timestamp_ns,累计采样数
1568320453174929,320
1568320495864044,640
1568320534587481,960
1568320576123992,1280
1568320614697169,1600
1568320655550085,1920
1568320694969200,2240
1568320734971231,2560
1568320777560398,2880
1568320816269565,3200
1568320858039721,3520
1568320895246387,3840
1568320936823992,4160
1568320977302064,4480
1568321015635137,4800
1568321056023419,5120
1568321096260033,5440
1568321135707116,5760
1568321176560710,6080
1568321216300762,6400
1568321258122741,6720
1568321297096127,7040
1568321334907689,7360
1568321375615918,7680
1568321417459929,8000
1568321458328262,8320
1568321496192064,8640
1568321536766648,8960
1568321576233939,9280
1568321616502950,9600
1568321656209877,9920
1568321696469929,10240
1568321735690710,10560
1568321776783158,10880
1568321816241700,11200
1568321855983783,11520
1568321896935762,11840
1568321935063835,12160
1568321976337481,12480
1568322017498522,12800
1568322057723418,13120
1568322095715137,13440
1568322135756908,13760
1568322175198210,14080
1568322216350866,14400
1568322256127793,14720
1568322296089095,15040
1568322336181647,15360
1568322375906804,15680
1568322416165397,16000
1568322457207533,16320
1568322495047116,16640
1568322535191387,16960
1568322576330085,17280
1568322616493678,17600
1568322655991126,17920
1568322696102012,18240
1568322737121699,18560
1568322776555189,18880
1568322816684772,19200
1568322856137220,19520
1568322897117689,19840
1568322936298418,20160
1568322976325814,20480
1568323018366491,20800
1568323056622480,21120
1568323096944876,21440
1568323137140657,21760
1568323177328157,22080
1568323216687220,22400
1568323256674876,22720
1568323296308626,23040
1568323337918626,23360
1568323377628314,23680
1568323417169043,24000
1568323456601074,24320
1568323496956126,24640
1568323536194407,24960
1568323577232741,25280
1568323615079095,25600
1568323656139928,25920
1568323696143157,26240
1568323735850345,26560
1568323775705970,26880
1568323816019876,27200
1568323856441699,27520
1568323899182584,27840
1568323935866543,28160
1568323976870032,28480
1568324015811074,28800
1568324057147792,29120
1568324096317063,29440
1568324135727167,29760
1568324175111959,30080
1568324215828626,30400
1568324256618522,30720
1568324294953574,31040
1568324335832011,31360
1568324376060969,31680
1568324415841021,32000
1568324455698730,32320
1568324495780188,32640
1568324536029199,32960
1568324576476074,33280
1568324618917011,33600
1568324661010865,33920
1568324696383834,34240
1568324735597011,34560
1568324776507532,34880
1568324816718782,35200
1568324856486282,35520
1568324896244667,35840
1568324935795657,36160
1568324975856438,36480
1568325016487688,36800
1568325056339511,37120
1568325096476855,37440
1568325136430500,37760
1568325175687792,38080
1568325216196855,38400
1568325255969094,38720
1568325296229719,39040
1568325337530917,39360
1568325376592532,39680
1568325416591907,40000
1568325457184302,40320
1568325500036229,40640
1568325535164823,40960
1568325576760865,41280
1568325617999927,41600
1568325655444250,41920
1568325694854146,42240
1568325736517375,42560
1568325774679771,42880
1568325815279250,43200
1568325854843990,43520
1568325895134094,43840
1568325935062844,44160
1568325975289823,44480
1568326016031906,44800
1568326055904563,45120
1568326096146021,45440
1568326136055552,45760
1568326176204771,46080
1568326215454719,46400
1568326255746750,46720
1568326295040187,47040
1568326335659667,47360
1568326375598937,47680
1568326415549875,48000
1568326456134771,48320
1568326495488885,48640
1568326534756542,48960
1568326574716333,49280
1568326616128989,49600
1568326655596750,49920
1568326694857062,50240
