timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
345514937613415,加速度计,1.3264,3.8900,9.1872,,,,,,,
345514947635498,加速度计,1.3832,3.8804,9.1195,,,,,,,
345514957654665,加速度计,1.2611,3.9660,9.0974,,,,,,,
345514967673415,加速度计,1.1893,3.9582,9.0010,,,,,,,
345514977692165,加速度计,1.1450,3.9031,8.9112,,,,,,,
345514987710915,加速度计,1.1097,3.9169,8.9573,,,,,,,
345514997729665,加速度计,1.1181,3.9307,9.0668,,,,,,,
345515007748415,加速度计,1.1732,3.9421,9.0908,,,,,,,
345515017767165,加速度计,1.2007,3.9450,9.0070,,,,,,,
345515027787998,加速度计,1.1277,3.9127,8.9094,,,,,,,
345515027795758,陀螺仪,,,,,,,,0.0499,0.1381,0.1101
345515037803415,加速度计,1.0181,3.8894,8.8238,,,,,,,
345515047818831,加速度计,0.9667,3.8972,8.7915,,,,,,,
345515047826592,陀螺仪,,,,,,,,0.0406,0.1346,0.1225
345515057834248,加速度计,1.0343,3.9594,8.8280,,,,,,,
345515067852060,加速度计,1.1157,4.0300,8.9196,,,,,,,
345515067870290,陀螺仪,,,,,,,,0.0152,0.1529,0.1423
345515077879613,加速度计,1.1636,4.0474,8.9651,,,,,,,
345515087898363,加速度计,1.1331,4.0025,8.8723,,,,,,,
345515087907790,陀螺仪,,,,,,,,0.0000,0.1438,0.1330
345515097917113,加速度计,1.0523,3.9696,8.7293,,,,,,,
345515107935863,加速度计,0.9607,3.9397,8.6107,,,,,,,
345515107945290,陀螺仪,,,,,,,,-0.0288,0.1253,0.1218
345515117954613,加速度计,0.9158,3.9265,8.5850,,,,,,,
345515127973363,加速度计,0.8715,3.8960,8.6520,,,,,,,
345515127982790,陀螺仪,,,,,,,,-0.0779,0.1515,0.1300
345515137992113,加速度计,0.9200,3.8696,8.8496,,,,,,,
345515148010863,加速度计,0.9649,3.8618,9.0333,,,,,,,
345515158029613,加速度计,1.0074,3.8726,9.1620,,,,,,,
345515148020290,陀螺仪,,,,,,,,-0.0862,0.2036,0.1491
345515168048363,加速度计,1.0552,3.9037,9.1806,,,,,,,
345515168057790,陀螺仪,,,,,,,,-0.0498,0.2164,0.1567
345515178067113,加速度计,1.0540,3.9516,9.1692,,,,,,,
345515188085863,加速度计,1.0008,3.9528,9.1075,,,,,,,
345515188095290,陀螺仪,,,,,,,,-0.0226,0.1812,0.1463
345515198104613,加速度计,0.8966,3.8954,9.0495,,,,,,,
345515208123363,加速度计,0.7626,3.8122,8.9998,,,,,,,
345515208132790,陀螺仪,,,,,,,,-0.0196,0.1478,0.1553
345515218142113,加速度计,0.7129,3.7098,8.9423,,,,,,,
345515228160863,加速度计,0.6566,3.5967,8.8214,,,,,,,
345515238179613,加速度计,0.3508,3.7002,8.5156,,,,,,,
345515228170290,陀螺仪,,,,,,,,-0.0546,0.2201,0.2234
345515248198363,加速度计,0.2670,3.4884,8.5473,,,,,,,
345515248207790,陀螺仪,,,,,,,,-0.1332,0.2762,0.3316
345515258217113,加速度计,0.0431,3.2507,8.1971,,,,,,,
345515268235863,加速度计,-0.3484,3.2914,7.9889,,,,,,,
345515268245290,陀螺仪,,,,,,,,-0.2273,0.3670,0.4959
345515278254613,加速度计,-0.6387,3.2878,8.2726,,,,,,,
345515288273363,加速度计,-0.7566,3.0406,8.8352,,,,,,,
345515288282790,陀螺仪,,,,,,,,-0.2587,0.7021,0.7835
345515298292113,加速度计,-0.5824,2.9096,9.3889,,,,,,,
345515308310863,加速度计,-0.3843,2.9832,9.4272,,,,,,,
345515308324196,陀螺仪,,,,,,,,-0.1827,1.0007,1.0456
345515318344717,加速度计,-0.2274,3.2543,9.0656,,,,,,,
345515328343206,陀螺仪,,,,,,,,-0.1076,0.8740,1.1100
345515328343571,加速度计,-0.0293,3.5871,8.9154,,,,,,,
345515338343050,加速度计,-0.1323,3.7816,8.5976,,,,,,,
345515348343988,加速度计,-0.0628,3.8726,8.7592,,,,,,,
345515348345290,陀螺仪,,,,,,,,-0.0123,0.6041,1.0799
345515358347113,加速度计,0.6327,3.9199,9.4912,,,,,,,
345515368352842,加速度计,1.0947,4.0486,10.0132,,,,,,,
345515368356852,陀螺仪,,,,,,,,0.2194,0.5346,0.9883
345515378361592,加速度计,0.7638,4.3251,9.6810,,,,,,,
345515388373779,加速度计,0.2143,4.4837,8.5814,,,,,,,
345515388381331,陀螺仪,,,,,,,,0.3816,0.5342,0.9408
345515398389717,加速度计,-0.4387,4.4173,7.1652,,,,,,,
345515408409300,加速度计,-1.0876,4.0731,6.0837,,,,,,,
345515408420394,陀螺仪,,,,,,,,0.1684,0.6475,1.0832
345515418432217,加速度计,-1.4647,3.6063,5.4336,,,,,,,
345515428458363,加速度计,-1.7346,3.4997,5.2499,,,,,,,
345515428472581,陀螺仪,,,,,,,,-0.3063,0.9015,1.3808
345515438487217,加速度计,-1.8944,3.7290,5.6509,,,,,,,
345515448518050,加速度计,0.7889,3.3603,6.4793,,,,,,,
345515448534144,陀螺仪,,,,,,,,-0.6946,0.8906,1.5205
345515458550446,加速度计,3.3399,3.3351,10.2436,,,,,,,
345515468583883,加速度计,1.9812,5.6557,11.2929,,,,,,,
345515468600810,陀螺仪,,,,,,,,-0.4205,0.7015,1.0984
345515478617633,加速度计,-1.9309,7.0066,10.8673,,,,,,,
345515488647946,加速度计,-1.9046,5.9903,9.5547,,,,,,,
345515488657998,陀螺仪,,,,,,,,-0.0330,0.2151,1.2683
345515498667633,加速度计,-1.0403,5.3816,8.9962,,,,,,,
345515508686383,加速度计,-0.3334,4.5789,8.7311,,,,,,,
345515508695810,陀螺仪,,,,,,,,-0.0174,0.1929,1.4085
345515518705133,加速度计,0.3849,4.2288,8.5132,,,,,,,
345515528723883,加速度计,-0.1670,4.1958,8.5066,,,,,,,
345515528733310,陀螺仪,,,,,,,,-0.0951,0.5418,1.3943
345515538742633,加速度计,-0.0940,4.2461,8.5647,,,,,,,
345515548761383,加速度计,-0.7069,4.2365,8.2714,,,,,,,
345515548770810,陀螺仪,,,,,,,,-0.1128,0.5164,1.3774
345515558780967,加速度计,-0.5237,3.8553,7.8644,,,,,,,
345515568806331,加速度计,-0.2747,3.6134,8.7706,,,,,,,
345515568810758,陀螺仪,,,,,,,,-0.1917,0.3691,1.3047
345515578815081,加速度计,0.3932,3.8960,9.8360,,,,,,,
345515598650440,GPS,,,,31.9405,118.7894,0.0000,0.0000,,,
345515588823935,加速度计,-0.6841,4.3999,8.3139,,,,,,,
345515588828571,陀螺仪,,,,,,,,-0.1345,0.7762,1.1784
345515598833310,加速度计,-0.7775,4.6890,7.1347,,,,,,,
345515608843623,加速度计,-0.6446,3.9205,7.0856,,,,,,,
345515608849300,陀螺仪,,,,,,,,-0.4846,0.9265,1.3003
345515618855290,加速度计,-1.5730,3.0646,7.2155,,,,,,,
345515628868623,加速度计,-2.0111,2.5402,7.9613,,,,,,,
345515628875967,陀螺仪,,,,,,,,-0.8988,0.9642,1.4978
345515638883623,加速度计,-0.1670,3.1035,7.9176,,,,,,,
345515648900290,加速度计,-0.2580,3.9247,9.1482,,,,,,,
345515648909300,陀螺仪,,,,,,,,-1.0990,0.8320,1.4587
