timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
1568222617250543,加速度计,0.4956,2.7940,9.3978,,,,,,,
1568222627269918,加速度计,0.2430,2.7557,9.4601,,,,,,,
1568222637288252,加速度计,0.0772,2.6480,9.5906,,,,,,,
1568222647306585,加速度计,-0.0395,2.6270,9.6438,,,,,,,
1568222657324918,加速度计,-0.0850,2.6630,9.7264,,,,,,,
1568222667343252,加速度计,0.0371,2.6749,9.8360,,,,,,,
1568222679152206,GPS,,,,31.9435,118.7807,0.0000,,,,
1568222677364971,加速度计,0.3633,2.6905,9.9329,,,,,,,
1568222674869293,陀螺仪,,,,,,,,-0.0547,-0.0186,0.0593
1568222687382054,加速度计,0.6686,2.8012,9.9282,,,,,,,
1568222697399137,加速度计,0.8146,2.9149,9.8450,,,,,,,
1568222694904814,陀螺仪,,,,,,,,0.0376,-0.1052,0.0270
1568222707431741,加速度计,0.7733,2.9215,9.6959,,,,,,,
1568222717440231,加速度计,0.7129,2.8904,9.6025,,,,,,,
1568222714940960,陀螺仪,,,,,,,,0.0818,-0.0891,-0.0206
1568222727443096,加速度计,0.6243,2.9311,9.5463,,,,,,,
1568222737447106,加速度计,0.5165,2.9221,9.3871,,,,,,,
1568222734948408,陀螺仪,,,,,,,,0.0712,-0.0341,-0.0362
1568222747452731,加速度计,0.4286,2.9413,9.1997,,,,,,,
1568222757460387,加速度计,0.4836,2.9413,9.1554,,,,,,,
1568222754962731,陀螺仪,,,,,,,,-0.0043,0.0103,-0.0254
1568222767470491,加速度计,0.3106,2.9072,9.1931,,,,,,,
1568222777483096,加速度计,0.2616,2.7318,9.2889,,,,,,,
1568222774986741,陀螺仪,,,,,,,,-0.0735,0.0842,0.0021
1568222787498564,加速度计,0.2759,2.6588,9.4260,,,,,,,
1568222797516950,加速度计,0.2963,2.7019,9.4942,,,,,,,
1568222795022002,陀螺仪,,,,,,,,-0.0631,0.1266,0.0304
1568222807537887,加速度计,0.3926,2.7066,9.4786,,,,,,,
1568222817561325,加速度计,0.4441,2.6893,9.4894,,,,,,,
1568222815067366,陀螺仪,,,,,,,,-0.0117,0.0763,0.0289
1568222827585439,加速度计,0.4334,2.7114,9.5523,,,,,,,
1568222837611689,加速度计,0.3424,2.7031,9.5774,,,,,,,
1568222835118721,陀螺仪,,,,,,,,0.0449,0.0193,0.0100
1568222847639606,加速度计,0.2400,2.6217,9.5972,,,,,,,
1568222857668773,加速度计,0.1640,2.5887,9.5469,,,,,,,
1568222855176325,陀螺仪,,,,,,,,0.0973,0.0760,0.0419
1568222867698773,加速度计,0.0946,2.6342,9.3996,,,,,,,
1568222877728773,加速度计,0.0204,2.6875,9.1638,,,,,,,
1568222875235700,陀螺仪,,,,,,,,0.1075,0.1692,0.1071
1568222887756273,加速度计,-0.0018,2.6564,8.9106,,,,,,,
1568222897775023,加速度计,0.0102,2.6851,8.7909,,,,,,,
1568222895279762,陀螺仪,,,,,,,,0.0486,0.1886,0.1668
1568222907793773,加速度计,0.0814,2.6761,8.7981,,,,,,,
1568222917812523,加速度计,0.1778,2.6552,8.9429,,,,,,,
1568222915317262,陀螺仪,,,,,,,,-0.0121,0.1253,0.1971
1568222927831273,加速度计,0.2693,2.6965,9.1752,,,,,,,
1568222937850023,加速度计,0.2322,2.6420,9.3194,,,,,,,
1568222935354762,陀螺仪,,,,,,,,-0.0077,0.0921,0.2035
1568222947868773,加速度计,0.2640,2.6402,9.4349,,,,,,,
1568222957891533,加速度计,0.2981,2.7198,9.3835,,,,,,,
1568222955394189,陀螺仪,,,,,,,,0.0646,0.1186,0.2257
1568222967901950,加速度计,0.1754,2.7306,9.1632,,,,,,,
1568222975415335,陀螺仪,,,,,,,,0.1290,0.2750,0.2710
1568222977912575,加速度计,0.1413,2.7258,9.1189,,,,,,,
1568222987923825,加速度计,0.1670,2.7785,9.0830,,,,,,,
1568222995439085,陀螺仪,,,,,,,,0.2012,0.3961,0.3390
1568222997935908,加速度计,0.0694,2.8994,8.8436,,,,,,,
1568223007949033,加速度计,0.0455,2.9999,8.5922,,,,,,,
1568223017963408,加速度计,0.3406,2.9377,8.9950,,,,,,,
1568223015467210,陀螺仪,,,,,,,,0.2979,0.5107,0.3728
1568223027979241,加速度计,1.0780,3.1466,8.3181,,,,,,,
1568223035501377,陀螺仪,,,,,,,,0.2443,1.0015,0.2714
1568223037996741,加速度计,0.7997,3.5458,7.1024,,,,,,,
1568223048015700,加速度计,0.0269,3.2986,7.3119,,,,,,,
1568223055541168,陀螺仪,,,,,,,,-0.0611,1.1269,0.2913
1568223058035908,加速度计,0.7991,3.5015,6.2183,,,,,,,
1568223068057366,加速度计,3.7625,4.3000,4.2868,,,,,,,
1568223078079866,加速度计,2.6378,4.8776,6.4332,,,,,,,
1568223075585648,陀螺仪,,,,,,,,-0.4723,0.7975,-0.1547
1568223088103200,加速度计,-1.1821,3.8182,7.8979,,,,,,,
1568223095633252,陀螺仪,,,,,,,,-0.4835,1.0120,-0.0120
1568223098127158,加速度计,-1.6179,2.6205,7.2496,,,,,,,
1568223108151533,加速度计,-0.9134,2.2057,8.7185,,,,,,,
1568223118176116,加速度计,-0.6512,2.5905,10.1574,,,,,,,
1568223115682314,陀螺仪,,,,,,,,-0.3286,0.8458,0.1916
1568223128200700,加速度计,-1.0313,3.1729,10.9648,,,,,,,
1568223135728668,陀螺仪,,,,,,,,0.1415,0.3804,0.1531
1568223138223408,加速度计,-1.4281,3.5620,11.1983,,,,,,,
1568223148243200,加速度计,-1.2450,3.8367,11.0816,,,,,,,
1568223155766689,陀螺仪,,,,,,,,0.5972,-0.4429,0.1927
1568223158261950,加速度计,-1.0199,3.6392,10.8374,,,,,,,
1568223168280491,加速度计,-0.2927,3.9253,10.3807,,,,,,,
1568223175803460,陀螺仪,,,,,,,,0.9559,-1.2944,0.1481
1568223178298825,加速度计,-0.9080,3.1681,9.4230,,,,,,,
1568223188317158,加速度计,-0.4687,2.7677,7.8757,,,,,,,
1568223195841064,陀螺仪,,,,,,,,0.8904,-1.8095,0.1469
1568223198336116,加速度计,-1.4359,3.0299,7.0312,,,,,,,
1568223208355596,加速度计,-2.1476,3.5991,8.1373,,,,,,,
1568223218373512,加速度计,-0.3358,3.9690,9.8162,,,,,,,
1568223215878043,陀螺仪,,,,,,,,0.8226,-1.6103,0.4040
1568223233931008,GPS,,,,31.9435,118.7807,0.0000,0.0000,,,
1568223228391429,加速度计,0.8182,4.4047,10.5105,,,,,,,
1568223238409346,加速度计,0.7464,4.6250,10.7727,,,,,,,
1568223235913877,陀螺仪,,,,,,,,1.1882,-1.8051,0.2772
1568223248427262,加速度计,1.1169,4.8955,10.1807,,,,,,,
1568223255949710,陀螺仪,,,,,,,,1.6232,-2.2978,0.0879
1568223258445179,加速度计,0.8487,4.7411,9.5409,,,,,,,
1568223268463096,加速度计,0.6883,4.7698,8.9286,,,,,,,
1568223275985543,陀螺仪,,,,,,,,1.8054,-2.7344,-0.0109
1568223278481012,加速度计,1.0469,4.8088,7.9990,,,,,,,
1568223288498929,加速度计,0.2077,5.6306,8.8568,,,,,,,
1568223296021377,陀螺仪,,,,,,,,2.0773,-2.7781,0.0024
1568223298516846,加速度计,-0.1353,9.2787,5.3522,,,,,,,
1568223308534762,加速度计,0.9331,8.0242,5.5252,,,,,,,
1568223316057210,陀螺仪,,,,,,,,2.1721,-0.9822,-0.1301
1568223318552679,加速度计,0.7739,6.4751,4.8153,,,,,,,
1568223328570596,加速度计,0.8386,5.9286,4.1366,,,,,,,
1568223336093408,陀螺仪,,,,,,,,1.5718,1.0818,-0.1811
1568223338588773,加速度计,0.6470,5.7970,4.5580,,,,,,,
1568223348607366,加速度计,0.8853,5.7922,5.1619,,,,,,,
1568223356131221,陀螺仪,,,,,,,,0.9956,2.6811,-0.3100
1568223358626377,加速度计,0.7901,5.6084,6.4560,,,,,,,
1568223368645543,加速度计,1.0959,5.6342,7.8739,,,,,,,
1568223376169554,陀螺仪,,,,,,,,1.1513,3.0997,-0.6883
1568223378664710,加速度计,1.4826,6.2782,8.3617,,,,,,,
1568223388683877,加速度计,0.9188,6.6756,9.0740,,,,,,,
1568223396207887,陀螺仪,,,,,,,,2.0259,2.3407,-1.0689
1568223398703043,加速度计,0.3615,7.0138,9.3248,,,,,,,
1568223408722210,加速度计,0.1197,6.8738,9.1093,,,,,,,
1568223416246221,陀螺仪,,,,,,,,2.8743,0.8413,-0.9468
1568223418741377,加速度计,0.1149,6.2920,8.2211,,,,,,,
1568223428760543,加速度计,0.1951,5.7982,7.2526,,,,,,,
1568223436284554,陀螺仪,,,,,,,,3.0913,0.3089,-0.7308
1568223438779710,加速度计,0.3843,5.6695,6.4536,,,,,,,
1568223448802002,加速度计,0.1796,5.8586,5.8975,,,,,,,
1568223456329710,陀螺仪,,,,,,,,2.7107,0.7153,-0.5980
