timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
263649842786837,加速度计,-3.2459,4.5159,7.9690,,,,,,,
263649835487150,陀螺仪,,,,,,,,0.2001,0.1920,0.0680
263649852358087,加速度计,-3.1525,4.5781,7.9929,,,,,,,
263649861929285,加速度计,-3.0760,4.6762,8.0719,,,,,,,
263649854629598,陀螺仪,,,,,,,,0.2111,0.1300,0.0903
263649871500535,加速度计,-3.0090,4.7647,8.1461,,,,,,,
263649881071733,加速度计,-3.0281,4.7695,8.1820,,,,,,,
263649873772045,陀螺仪,,,,,,,,0.2099,0.1523,0.0698
263649890642931,加速度计,-3.0544,4.7671,8.1245,,,,,,,
263649900214129,加速度计,-3.1789,4.7480,8.0288,,,,,,,
263649892914441,陀螺仪,,,,,,,,0.2215,0.2014,0.0386
263649909785327,加速度计,-3.2961,4.7456,7.9140,,,,,,,
263649912056889,陀螺仪,,,,,,,,0.2224,0.2253,0.0283
263649919356577,加速度计,-3.4158,4.7384,7.7752,,,,,,,
263649928927775,加速度计,-3.5163,4.6714,7.8302,,,,,,,
263649938498973,加速度计,-3.3679,4.5613,7.9714,,,,,,,
263649931199285,陀螺仪,,,,,,,,0.2038,0.2216,0.0564
263649948070170,加速度计,-3.2219,4.5972,8.1269,,,,,,,
263649957641420,加速度计,-3.1167,4.7719,8.1724,,,,,,,
263649950341733,陀螺仪,,,,,,,,0.2163,0.2579,0.1046
263649967212618,加速度计,-3.1095,4.9681,8.0815,,,,,,,
263649969484129,陀螺仪,,,,,,,,0.2692,0.3074,0.1000
263649976783816,加速度计,-3.1262,5.0949,7.8876,,,,,,,
263649986355014,加速度计,-3.2124,5.1858,7.6579,,,,,,,
263649988626525,陀螺仪,,,,,,,,0.3104,0.2521,0.0344
263649995926212,加速度计,-3.4564,5.2457,7.4856,,,,,,,
263650005497462,加速度计,-3.7340,5.2170,7.3564,,,,,,,
263650015068660,加速度计,-3.8871,5.1452,7.3158,,,,,,,
263650007768973,陀螺仪,,,,,,,,0.2918,0.1190,-0.0249
263650024639858,加速度计,-3.9063,5.0542,7.2583,,,,,,,
263650026911420,陀螺仪,,,,,,,,0.2041,0.0359,-0.0237
263650034211108,加速度计,-3.7771,4.9896,7.2248,,,,,,,
263650043782306,加速度计,-3.6431,4.9513,7.1913,,,,,,,
263650053353504,加速度计,-3.6144,4.9777,7.1698,,,,,,,
263650046053816,陀螺仪,,,,,,,,0.0593,0.0496,-0.0026
263650062924754,加速度计,-3.6191,5.0447,7.1746,,,,,,,
263650065196264,陀螺仪,,,,,,,,-0.0885,0.0652,0.0026
263650072495952,加速度计,-3.6263,5.1021,7.2727,,,,,,,
263650082067098,加速度计,-3.6455,5.1236,7.4330,,,,,,,
263650084338660,陀螺仪,,,,,,,,-0.1914,0.0331,-0.0176
263650091638348,加速度计,-3.6503,5.1093,7.6508,,,,,,,
263650101209598,加速度计,-3.6120,5.0495,7.8206,,,,,,,
263650110780795,加速度计,-3.5713,4.9633,7.9953,,,,,,,
263650103481108,陀螺仪,,,,,,,,-0.2269,0.0127,-0.0463
263650120351993,加速度计,-3.5426,4.8365,8.1604,,,,,,,
263650122623556,陀螺仪,,,,,,,,-0.1997,0.0111,-0.0548
263650129923243,加速度计,-3.5474,4.7480,8.2920,,,,,,,
263650139494441,加速度计,-3.6024,4.6857,8.3231,,,,,,,
263650141765952,陀螺仪,,,,,,,,-0.1233,0.0429,-0.0392
263650149065639,加速度计,-3.7244,4.6738,8.2561,,,,,,,
263650158636889,加速度计,-3.8489,4.6905,8.1197,,,,,,,
263650160908400,陀螺仪,,,,,,,,-0.0396,0.0594,0.0023
263650168208087,加速度计,-3.8704,4.7145,7.9738,,,,,,,
263650177779285,加速度计,-3.8249,4.7192,7.8446,,,,,,,
263650180050848,陀螺仪,,,,,,,,0.0181,0.0334,0.0472
263650187350535,加速度计,-3.7460,4.7527,7.7082,,,,,,,
263650196921733,加速度计,-3.6790,4.7910,7.5814,,,,,,,
263650199193243,陀螺仪,,,,,,,,0.0383,-0.0081,0.0689
263650206492931,加速度计,-3.5545,4.8461,7.4904,,,,,,,
263650216064181,加速度计,-3.4684,4.9442,7.4569,,,,,,,
263650218335691,陀螺仪,,,,,,,,0.0147,-0.0502,0.0545
263650225635379,加速度计,-3.3583,5.0327,7.4952,,,,,,,
263650235206629,加速度计,-3.3129,5.0590,7.4737,,,,,,,
263650237478139,陀螺仪,,,,,,,,-0.0439,-0.0490,0.0102
263650244777827,加速度计,-3.3320,5.0447,7.4354,,,,,,,
263650254349025,加速度计,-3.3823,4.9777,7.3828,,,,,,,
263650256620587,陀螺仪,,,,,,,,-0.1288,-0.0350,-0.0338
263650263920275,加速度计,-3.4564,4.9322,7.2799,,,,,,,
263650273491473,加速度计,-3.5569,4.8987,7.1865,,,,,,,
263650275763035,陀螺仪,,,,,,,,-0.2223,-0.0493,-0.0505
263650283062723,加速度计,-3.6287,4.9035,7.1435,,,,,,,
263650292633920,加速度计,-3.6670,4.9322,7.1387,,,,,,,
263650294905431,陀螺仪,,,,,,,,-0.3044,-0.1342,-0.0472
263650302205118,加速度计,-3.6766,4.9107,7.1554,,,,,,,
263650311776368,加速度计,-3.6311,4.8532,7.2177,,,,,,,
263650321347566,加速度计,-3.5450,4.7815,7.3588,,,,,,,
263650314047879,陀螺仪,,,,,,,,-0.3750,-0.2421,-0.0444
263650330918816,加速度计,-3.4756,4.7216,7.5383,,,,,,,
263650340490014,加速度计,-3.4253,4.6953,7.7465,,,,,,,
263650333190327,陀螺仪,,,,,,,,-0.4202,-0.3303,-0.0460
263650350061264,加速度计,-3.3655,4.6905,8.0145,,,,,,,
263650352332775,陀螺仪,,,,,,,,-0.4236,-0.3792,-0.0536
263650359632462,加速度计,-3.2650,4.6738,8.2825,,,,,,,
263650369203712,加速度计,-3.1573,4.6618,8.5098,,,,,,,
263650371475223,陀螺仪,,,,,,,,-0.3808,-0.3465,-0.0728
263650378774910,加速度计,-3.0855,4.6331,8.6533,,,,,,,
263650388346108,加速度计,-3.0401,4.5781,8.7873,,,,,,,
263650390617670,陀螺仪,,,,,,,,-0.3109,-0.2735,-0.1187
263650397917358,加速度计,-3.1286,4.4895,8.8472,,,,,,,
263650407488556,加速度计,-3.3296,4.3579,8.8424,,,,,,,
263650409760118,陀螺仪,,,,,,,,-0.2397,-0.1944,-0.1458
263650417059806,加速度计,-3.5234,4.2000,8.7778,,,,,,,
263650426631056,加速度计,-3.6455,4.1163,8.6868,,,,,,,
263650436202254,加速度计,-3.6957,4.0875,8.5672,,,,,,,
263650428902566,陀螺仪,,,,,,,,-0.1746,-0.1367,-0.0933
263650445773452,加速度计,-3.6311,4.1474,8.4428,,,,,,,
263650448045014,陀螺仪,,,,,,,,-0.1190,-0.1214,-0.0102
263650455344702,加速度计,-3.5115,4.2526,8.3399,,,,,,,
263650464915900,加速度计,-3.3344,4.3627,8.3112,,,,,,,
263650467187462,陀螺仪,,,,,,,,-0.0824,-0.1495,0.0218
263650474487150,加速度计,-3.1765,4.4632,8.2777,,,,,,,
263650484058400,加速度计,-3.0568,4.5230,8.2155,,,,,,,
263650486329910,陀螺仪,,,,,,,,-0.0735,-0.1495,-0.0200
263650493629598,加速度计,-3.0185,4.5254,8.0671,,,,,,,
263650503200848,加速度计,-3.1023,4.4967,7.9379,,,,,,,
263650505472358,陀螺仪,,,,,,,,-0.1093,-0.1694,-0.0866
263650512772045,加速度计,-3.1837,4.3890,7.8685,,,,,,,
263650522343295,加速度计,-3.1837,4.3173,7.7943,,,,,,,
263650524614806,陀螺仪,,,,,,,,-0.2012,-0.1877,-0.1116
263650531914493,加速度计,-3.1525,4.3220,7.7800,,,,,,,
263650541485743,加速度计,-3.1095,4.2957,7.8374,,,,,,,
263650543757254,陀螺仪,,,,,,,,-0.3295,-0.1856,-0.1260
263650551056941,加速度计,-3.1167,4.2407,7.8996,,,,,,,
263650560628191,加速度计,-3.1693,4.1498,7.9953,,,,,,,
263650562899754,陀螺仪,,,,,,,,-0.4349,-0.1636,-0.1187
263650570199441,加速度计,-3.2315,4.0947,8.1221,,,,,,,
263650579770639,加速度计,-3.2770,4.0038,8.2513,,,,,,,
263650582042202,陀螺仪,,,,,,,,-0.4837,-0.1523,-0.0796
263650589341889,加速度计,-3.2626,3.9392,8.4428,,,,,,,
263650598913087,加速度计,-3.1669,3.9440,8.6486,,,,,,,
263650601184650,陀螺仪,,,,,,,,-0.4672,-0.1425,-0.0310
263650608484337,加速度计,-3.0233,3.9727,8.8208,,,,,,,
263650618055535,加速度计,-2.9252,3.9870,8.9357,,,,,,,
263650620327098,陀螺仪,,,,,,,,-0.3952,-0.1254,-0.0231
263650627626785,加速度计,-2.8582,3.9990,9.0314,,,,,,,
263650637198035,加速度计,-2.8678,3.9751,9.0649,,,,,,,
263650639469545,陀螺仪,,,,,,,,-0.2953,-0.0970,-0.0496
263650658611993,陀螺仪,,,,,,,,-0.2024,-0.0622,-0.0564
263650677754493,陀螺仪,,,,,,,,-0.1300,-0.0484,-0.0237
263650646769233,加速度计,-2.9803,3.9081,9.0362,,,,,,,
263650656340431,加速度计,-3.0975,3.8387,8.9931,,,,,,,
263650665911681,加速度计,-3.1765,3.7837,8.9333,,,,,,,
263650675482931,加速度计,-3.2171,3.7238,8.8639,,,,,,,
263650685054181,加速度计,-3.2339,3.7047,8.8137,,,,,,,
263650694625379,加速度计,-3.1956,3.7406,8.7802,,,,,,,
263650704196629,加速度计,-3.0760,3.8315,8.8089,,,,,,,
263650696896941,陀螺仪,,,,,,,,-0.0790,-0.0417,0.0255
263650713767827,加速度计,-2.9372,3.9224,8.8687,,,,,,,
263650716039389,陀螺仪,,,,,,,,-0.0338,-0.0292,0.0383
263650723339077,加速度计,-2.8463,3.9966,8.9070,,,,,,,
263650732910327,加速度计,-2.8343,4.0205,8.8878,,,,,,,
263650735181837,陀螺仪,,,,,,,,-0.0054,-0.0011,-0.0105
263650742481525,加速度计,-2.8798,3.9488,8.7586,,,,,,,
263650752052775,加速度计,-2.9803,3.8506,8.6366,,,,,,,
263650761624025,加速度计,-3.0760,3.7837,8.5098,,,,,,,
263650754324337,陀螺仪,,,,,,,,-0.0176,0.0292,-0.0429
263650771195223,加速度计,-3.1454,3.7358,8.3997,,,,,,,
263650773466785,陀螺仪,,,,,,,,-0.0680,0.0536,-0.0218
263650780766473,加速度计,-3.1502,3.7095,8.3662,,,,,,,
263650790337723,加速度计,-3.1406,3.7382,8.3877,,,,,,,
263650792609233,陀螺仪,,,,,,,,-0.1142,0.0631,0.0145
263650799908920,加速度计,-3.0975,3.8554,8.4428,,,,,,,
263650809480170,加速度计,-2.9898,3.9081,8.5074,,,,,,,
263650811751733,陀螺仪,,,,,,,,-0.1175,0.0295,0.0081
263650819051420,加速度计,-2.9300,3.8985,8.5600,,,,,,,
263650828622618,加速度计,-2.8798,3.8674,8.5863,,,,,,,
263650830894181,陀螺仪,,,,,,,,-0.0903,0.0005,-0.0264
263650838193868,加速度计,-2.8223,3.8243,8.5600,,,,,,,
263650847765118,加速度计,-2.8319,3.7525,8.4643,,,,,,,
263650857336316,加速度计,-2.9420,3.6903,8.3853,,,,,,,
263650850036629,陀螺仪,,,,,,,,-0.0607,0.0002,-0.0664
263650866907566,加速度计,-3.0975,3.6520,8.3734,,,,,,,
263650869179129,陀螺仪,,,,,,,,-0.0622,-0.0316,-0.0820
263650876478816,加速度计,-3.1837,3.6257,8.3901,,,,,,,
263650886050014,加速度计,-3.1525,3.6066,8.4428,,,,,,,
263650888321577,陀螺仪,,,,,,,,-0.0870,-0.0374,-0.0628
263650895621264,加速度计,-3.1119,3.5683,8.4500,,,,,,,
263650905192514,加速度计,-3.0855,3.5348,8.4595,,,,,,,
263650907464077,陀螺仪,,,,,,,,-0.1233,-0.0017,-0.0310
263650914763764,加速度计,-3.0999,3.5492,8.4787,,,,,,,
263650924334962,加速度计,-3.0951,3.5850,8.5122,,,,,,,
263650926606525,陀螺仪,,,,,,,,-0.1468,-0.0011,-0.0069
263650933906212,加速度计,-3.0736,3.6568,8.5863,,,,,,,
263650943477462,加速度计,-3.0497,3.7023,8.6940,,,,,,,
263650945748973,陀螺仪,,,,,,,,-0.1303,-0.0347,-0.0029
263650953048660,加速度计,-3.0018,3.7143,8.8113,,,,,,,
263650962619910,加速度计,-2.9755,3.7071,8.9070,,,,,,,
263650964891473,陀螺仪,,,,,,,,-0.0723,-0.0533,-0.0136
263650972191160,加速度计,-2.9779,3.6784,8.9501,,,,,,,
263650981762410,加速度计,-2.9755,3.6640,8.9357,,,,,,,
263650984033920,陀螺仪,,,,,,,,-0.0063,-0.0331,-0.0240
263650991333608,加速度计,-3.0114,3.6760,8.8759,,,,,,,
263651000904858,加速度计,-3.0808,3.6736,8.7849,,,,,,,
263651003176420,陀螺仪,,,,,,,,0.0340,-0.0188,-0.0402
263651010476108,加速度计,-3.1669,3.6473,8.7036,,,,,,,
263651020047358,加速度计,-3.1956,3.6329,8.6198,,,,,,,
263651022318868,陀螺仪,,,,,,,,0.0300,-0.0166,-0.0396
263651029618556,加速度计,-3.1908,3.6257,8.5648,,,,,,,
263651039189806,加速度计,-3.1621,3.6329,8.5505,,,,,,,
263651041461368,陀螺仪,,,,,,,,-0.0100,-0.0111,-0.0197
263651048761056,加速度计,-3.1310,3.6114,8.6055,,,,,,,
263651058332306,加速度计,-3.1310,3.6568,8.6821,,,,,,,
263651060603816,陀螺仪,,,,,,,,-0.0561,0.0081,-0.0053
263651067903504,加速度计,-3.1286,3.6688,8.7275,,,,,,,
263651077474754,加速度计,-3.1238,3.6736,8.7538,,,,,,,
263651079746316,陀螺仪,,,,,,,,-0.0723,0.0255,-0.0075
263651087046004,加速度计,-3.0903,3.6640,8.7802,,,,,,,
263651096617254,加速度计,-3.0616,3.6281,8.8472,,,,,,,
263651098888764,陀螺仪,,,,,,,,-0.0601,0.0344,-0.0093
263651106188452,加速度计,-3.0808,3.5898,8.8950,,,,,,,
263651115759702,加速度计,-3.0975,3.5396,8.8687,,,,,,,
263651118031264,陀螺仪,,,,,,,,-0.0241,0.0625,-0.0087
263651125330952,加速度计,-3.0808,3.5133,8.7802,,,,,,,
263651134902202,加速度计,-3.0832,3.5204,8.7156,,,,,,,
263651137173764,陀螺仪,,,,,,,,0.0089,0.0646,-0.0035
263651144473452,加速度计,-3.1214,3.5157,8.6127,,,,,,,
263651154044650,加速度计,-3.1358,3.5515,8.5337,,,,,,,
263651163615900,加速度计,-3.1262,3.5779,8.4476,,,,,,,
263651156316212,陀螺仪,,,,,,,,0.0224,0.0551,0.0023
263651173187150,加速度计,-3.1549,3.5779,8.3830,,,,,,,
263651175458712,陀螺仪,,,,,,,,0.0062,0.0377,-0.0008
263651182758400,加速度计,-3.2171,3.5707,8.3758,,,,,,,
263651192329545,加速度计,-3.2602,3.5468,8.4117,,,,,,,
263651201900848,加速度计,-3.2483,3.5348,8.4428,,,,,,,
263651194601160,陀螺仪,,,,,,,,-0.0244,0.0231,0.0066
263651211472098,加速度计,-3.1837,3.5850,8.4811,,,,,,,
263651213743660,陀螺仪,,,,,,,,-0.0369,0.0197,0.0197
263651221043348,加速度计,-3.1047,3.6544,8.4571,,,,,,,
263651230614598,加速度计,-2.9779,3.6664,8.4428,,,,,,,
263651232886108,陀螺仪,,,,,,,,-0.0274,-0.0188,-0.0060
263651240185795,加速度计,-2.9755,3.6975,8.4476,,,,,,,
263651249757045,加速度计,-3.0377,3.7047,8.4452,,,,,,,
263651252028608,陀螺仪,,,,,,,,-0.0357,-0.0707,-0.0557
263651259328295,加速度计,-3.0927,3.7406,8.5050,,,,,,,
263651268899545,加速度计,-3.1143,3.7310,8.5002,,,,,,,
263651271171108,陀螺仪,,,,,,,,-0.0561,-0.0820,-0.0869
263651278470795,加速度计,-3.0520,3.7406,8.4236,,,,,,,
263651288042045,加速度计,-3.0903,3.7382,8.3710,,,,,,,
263651290313504,陀螺仪,,,,,,,,-0.1068,-0.1107,-0.1425
263651297613191,加速度计,-3.2626,3.7860,8.4500,,,,,,,
263651307184493,加速度计,-3.4301,3.7860,8.5720,,,,,,,
263651309456056,陀螺仪,,,,,,,,-0.1853,-0.1578,-0.1944
263651316755743,加速度计,-3.5833,3.7549,8.5170,,,,,,,
263651326326993,加速度计,-3.4899,3.7454,8.2609,,,,,,,
263651328598556,陀螺仪,,,,,,,,-0.2983,-0.1657,-0.1969
263651335898243,加速度计,-3.3488,3.6568,8.1389,,,,,,,
263651345469493,加速度计,-3.2339,3.6377,8.1509,,,,,,,
263651347741056,陀螺仪,,,,,,,,-0.4657,-0.2414,-0.2008
263651355040743,加速度计,-3.1454,3.6329,8.2490,,,,,,,
263651364611941,加速度计,-3.1334,3.6999,8.5600,,,,,,,
263651366883504,陀螺仪,,,,,,,,-0.6047,-0.3282,-0.2472
263651374183191,加速度计,-3.1047,3.6927,8.8328,,,,,,,
263651383754441,加速度计,-2.9898,3.6090,8.9548,,,,,,,
263651386026004,陀螺仪,,,,,,,,-0.6954,-0.3187,-0.3432
263651393325691,加速度计,-2.8510,3.5348,9.0864,,,,,,,
263651402896941,加速度计,-2.8726,3.3721,9.2348,,,,,,,
263651405168504,陀螺仪,,,,,,,,-0.7730,-0.2366,-0.4815
263651412468191,加速度计,-3.1095,3.0993,9.2611,,,,,,,
263651422039441,加速度计,-3.4708,2.8193,9.2779,,,,,,,
263651424311004,陀螺仪,,,,,,,,-0.7831,-0.2372,-0.5457
263651431610691,加速度计,-3.8728,2.4796,9.2276,,,,,,,
263651441181837,加速度计,-4.1623,2.0321,9.1391,,,,,,,
263651443453452,陀螺仪,,,,,,,,-0.6859,-0.5053,-0.4137
263651450753139,加速度计,-4.4471,1.5272,9.3281,,,,,,,
263651460324389,加速度计,-4.5930,1.5799,9.8402,,,,,,,
263651462595952,陀螺仪,,,,,,,,-0.5149,-0.6889,-0.0414
263651469895639,加速度计,-4.4614,1.6397,10.3235,,,,,,,
263651481738452,陀螺仪,,,,,,,,-0.2937,-0.4699,0.3948
263651479466889,加速度计,-4.0570,1.5368,10.5413,,,,,,,
263651489038139,加速度计,-3.7699,1.7091,11.0701,,,,,,,
263651498609337,加速度计,-3.7747,2.1733,11.5846,,,,,,,
263651500880952,陀螺仪,,,,,,,,0.0050,-0.1174,0.7356
263651508180639,加速度计,-3.5665,2.6423,11.3261,,,,,,,
263651517751889,加速度计,-3.3368,2.7021,10.5580,,,,,,,
263651527323139,加速度计,-2.5256,2.6662,9.5698,,,,,,,
263651520023452,陀螺仪,,,,,,,,0.3248,0.1901,0.9687
263651536894389,加速度计,-1.6379,2.7571,8.8639,,,,,,,
263651539165952,陀螺仪,,,,,,,,0.4995,-0.1590,0.9540
263651546465639,加速度计,-0.9966,2.9270,8.7179,,,,,,,
263651556036889,加速度计,-0.8602,3.2764,9.3329,,,,,,,
263651558308452,陀螺仪,,,,,,,,0.5135,-0.5429,0.6849
263651565608139,加速度计,-1.2215,3.3123,9.8067,,,,,,,
263651575179389,加速度计,-1.4680,2.9844,9.6320,,,,,,,
263651577450952,陀螺仪,,,,,,,,0.4145,-0.2054,0.5472
263651584750639,加速度计,-1.1617,2.7715,8.9453,,,,,,,
263651594321889,加速度计,-0.9153,2.7523,8.6127,,,,,,,
263651596593400,陀螺仪,,,,,,,,0.1464,0.2515,0.5545
263651603893087,加速度计,-0.9176,2.8433,8.8137,,,,,,,
263651613464337,加速度计,-1.4632,2.5992,9.4358,,,,,,,
263651615735900,陀螺仪,,,,,,,,-0.1398,0.6498,0.7017
263651623035587,加速度计,-2.0112,3.0227,10.3546,,,,,,,
263651632606837,加速度计,-1.5900,3.0802,10.2924,,,,,,,
263651634878400,陀螺仪,,,,,,,,-0.3115,1.3108,0.9885
263651642178087,加速度计,-1.3484,3.0299,9.9766,,,,,,,
263651651749337,加速度计,-1.6044,2.9438,9.6105,,,,,,,
263651661320587,加速度计,-1.5015,2.7811,9.1630,,,,,,,
263651654020900,陀螺仪,,,,,,,,-0.3860,1.7039,1.0930
263651670891837,加速度计,-2.0925,2.6638,9.0027,,,,,,,
263651673163400,陀螺仪,,,,,,,,-0.3872,1.9390,1.1810
263651680463087,加速度计,-3.4804,2.4915,8.9668,,,,,,,
263651690034389,加速度计,-3.7507,2.4652,8.8280,,,,,,,
263651692305900,陀螺仪,,,,,,,,-0.2641,1.7827,1.3566
263651699605587,加速度计,-4.0594,2.8122,8.7491,,,,,,,
263651709176837,加速度计,-3.6335,3.3266,8.3231,,,,,,,
263651711448400,陀螺仪,,,,,,,,-0.0079,1.2317,1.4158
263651718748087,加速度计,-2.9157,3.9129,7.8829,,,,,,,
263651728319337,加速度计,-1.9633,4.3531,7.3421,,,,,,,
263651730590900,陀螺仪,,,,,,,,0.2521,0.6495,1.0997
263651737890587,加速度计,-1.3723,4.6594,7.1124,,,,,,,
263651747461889,加速度计,-1.2598,4.6977,7.1913,,,,,,,
263651749733452,陀螺仪,,,,,,,,0.2774,0.3523,0.3728
263651757033139,加速度计,-1.3101,4.5757,7.2751,,,,,,,
263651766604389,加速度计,-2.0327,4.6834,7.2631,,,,,,,
263651768875952,陀螺仪,,,,,,,,0.2670,0.1251,-0.3615
263651776175639,加速度计,-3.2459,4.5278,6.9233,,,,,,,
263651785746889,加速度计,-3.9087,3.8148,6.5548,,,,,,,
263651788018452,陀螺仪,,,,,,,,0.3993,-0.5661,-0.5270
263651795318139,加速度计,-3.8943,3.2405,6.5979,,,,,,,
263651804889389,加速度计,-3.8895,3.4606,6.8085,,,,,,,
263651807160952,陀螺仪,,,,,,,,0.4289,-1.0991,-0.3935
263651814460639,加速度计,-4.6528,3.8650,6.6769,,,,,,,
263651824031889,加速度计,-3.3440,3.5468,7.2727,,,,,,,
263651826303452,陀螺仪,,,,,,,,0.3299,-1.4430,-0.3233
263651833603139,加速度计,-3.0257,3.4726,8.8854,,,,,,,
263651843174389,加速度计,-4.1647,3.5946,11.2089,,,,,,,
263651845445952,陀螺仪,,,,,,,,0.3495,-1.0954,-0.2082
263651852745639,加速度计,-2.2528,2.7452,8.8543,,,,,,,
263651862316889,加速度计,-1.4034,2.5035,8.9333,,,,,,,
263651864588504,陀螺仪,,,,,,,,0.2401,-0.7369,-0.1229
263651871888191,加速度计,-3.1047,3.4056,10.0747,,,,,,,
263651881459441,加速度计,-2.2959,3.3314,8.9548,,,,,,,
263651883731004,陀螺仪,,,,,,,,0.1482,-0.2198,-0.1126
263651891030691,加速度计,-2.1691,3.2094,8.7443,,,,,,,
263651900601941,加速度计,-3.6120,3.4343,9.2181,,,,,,,
263651902873504,陀螺仪,,,,,,,,0.1183,-0.1587,-0.1180
263651910173191,加速度计,-3.4397,3.2357,8.6797,,,,,,,
263651919744441,加速度计,-2.9635,3.3194,8.7826,,,,,,,
263651922016004,陀螺仪,,,,,,,,0.1992,-0.3309,-0.0350
263651929315691,加速度计,-3.1430,3.6449,9.3377,,,,,,,
263651938886941,加速度计,-2.7434,3.8483,9.5818,,,,,,,
263651941158556,陀螺仪,,,,,,,,0.3923,-0.5734,-0.0557
263651948458243,加速度计,-2.4036,3.9416,9.5674,,,,,,,
263651958029493,加速度计,-2.1906,3.8459,9.1750,,,,,,,
263651960301056,陀螺仪,,,,,,,,0.6393,-0.9207,-0.1370
263651967600743,加速度计,-2.1595,3.6592,8.9022,,,,,,,
263651977171993,加速度计,-2.1500,3.4678,8.6462,,,,,,,
263651979443139,陀螺仪,,,,,,,,0.7371,-1.2121,-0.2213
263651986742827,加速度计,-2.2146,3.3386,8.4021,,,,,,,
263651996314493,加速度计,-2.3509,3.6377,8.6031,,,,,,,
263651998586108,陀螺仪,,,,,,,,0.6781,-1.2237,-0.2720
263652005885795,加速度计,-2.4156,4.0205,8.7826,,,,,,,
263652015457045,加速度计,-2.2385,4.2622,8.7682,,,,,,,
263652017728608,陀螺仪,,,,,,,,0.6158,-1.1574,-0.2289
263652025028295,加速度计,-1.9178,4.3029,8.6270,,,,,,,
263652034599545,加速度计,-1.5852,4.2168,8.6222,,,,,,,
263652036871160,陀螺仪,,,,,,,,0.5587,-1.1929,-0.2136
263652044170848,加速度计,-1.2909,4.1258,8.5337,,,,,,,
263652053742098,加速度计,-0.9894,4.1474,8.4069,,,,,,,
263652063313348,加速度计,-0.7047,4.2168,8.1604,,,,,,,
263652056013660,陀螺仪,,,,,,,,0.5386,-1.2372,-0.2720
263652072884598,加速度计,-0.5515,4.4106,7.9164,,,,,,,
263652075156160,陀螺仪,,,,,,,,0.4616,-1.2390,-0.3945
263652082455848,加速度计,-0.9392,4.6427,8.1676,,,,,,,
263652092027150,加速度计,-1.6116,4.6187,8.4332,,,,,,,
263652094298712,陀螺仪,,,,,,,,0.2957,-0.9543,-0.4467
263652101598400,加速度计,-2.1667,4.3723,8.7156,,,,,,,
263652111169650,加速度计,-2.4275,4.1330,9.0027,,,,,,,
263652113441212,陀螺仪,,,,,,,,0.1079,-0.3877,-0.2866
263652120740900,加速度计,-2.2935,3.9248,8.9620,,,,,,,
263652130312202,加速度计,-1.8461,3.8626,8.8304,,,,,,,
263652132583764,陀螺仪,,,,,,,,-0.0124,-0.0334,-0.0652
263652139883452,加速度计,-1.2335,4.1378,8.5265,,,,,,,
263652149454702,加速度计,-0.6855,4.5302,8.1939,,,,,,,
263652159025952,加速度计,-0.4582,4.7719,8.0312,,,,,,,
