timestamp_ns,累计采样数
350348628652815,320
350348669031201,640
350348706087659,960
350348747872399,1280
350348785455628,1600
350348823864169,1920
350348863504430,2240
350348904081878,2560
350348943405211,2880
350348983370471,3200
350349024527190,3520
350349063317294,3840
350349103265888,4160
350349144981617,4480
350349183525680,4800
350349223811513,5120
350349263288544,5440
350349303445680,5760
350349344872971,6080
350349384846305,6400
350349425236878,6720
350349463883128,7040
350349505861878,7360
350349546540002,7680
350349586528440,8000
350349623594430,8320
350349665702086,8640
350349705360419,8960
350349743767867,9280
350349785584638,9600
350349825515523,9920
350349865263388,10240
350349905376252,10560
350349944319013,10880
350349985970054,11200
350350024996825,11520
350350065812867,11840
350350105249534,12160
350350145017450,12480
350350183674169,12800
350350225537815,13120
350350265978388,13440
350350304276096,13760
350350346184221,14080
350350385329950,14400
350350425737398,14720
350350466537919,15040
350350506127085,15360
350350544200158,15680
350350585335367,16000
350350623718960,16320
350350664865679,16640
350350704966773,16960
350350743533231,17280
350350786119377,17600
350350826756252,17920
350350863155158,18240
350350904023075,18560
350350943439325,18880
350350984184169,19200
350351025234689,19520
350351063549533,19840
350351105507919,20160
350351145028075,20480
350351185135366,20800
350351225180939,21120
350351264892710,21440
350351305566408,21760
350351345937918,22080
350351384906564,22400
350351425178127,22720
350351465226096,23040
350351504733179,23360
350351545205470,23680
350351584886148,24000
350351626729950,24320
350351664591929,24640
350351705556929,24960
350351745715470,25280
350351786141929,25600
350351824593075,25920
350351865316929,26240
350351905608960,26560
350351948478908,26880
350351983625158,27200
350352025648856,27520
350352064340470,27840
350352103887866,28160
350352144460939,28480
350352184903804,28800
350352225929429,29120
350352265105783,29440
350352308039376,29760
350352344615991,30080
350352385400106,30400
350352426067658,30720
350352469357033,31040
350352506975626,31360
350352545896824,31680
350352586542814,32000
350352626052814,32320
350352666868855,32640
350352707657710,32960
350352745828074,33280
350352785497241,33600
350352826174012,33920
350352864906043,34240
350352906344897,34560
350352946021564,34880
350352987905001,35200
350353025231147,35520
350353065626407,35840
350353105820834,36160
350353149508439,36480
350353185211824,36800
350353224178543,37120
350353266085157,37440
350353306220105,37760
350353345022918,38080
350353385171251,38400
350353424295574,38720
350353466820834,39040
350353507018074,39360
350353546367241,39680
350353586419168,40000
350353624173230,40320
350353665034584,40640
350353705179272,40960
350353745072813,41280
350353787836303,41600
350353824634168,41920
350353866106251,42240
350353905399532,42560
350353944488022,42880
350353984385522,43200
350354024688386,43520
350354064540157,43840
350354104307501,44160
350354146673438,44480
350354185723907,44800
350354225908230,45120
350354266230417,45440
350354306977657,45760
350354346309636,46080
350354387017917,46400
350354426599271,46720
350354466004324,47040
350354506356042,47360
350354545731928,47680
350354584836198,48000
350354624138907,48320
350354665000990,48640
350354704480157,48960
350354744678855,49280
350354786452969,49600
350354825957657,49920
350354864111771,50240
350354906039896,50560
350354944866928,50880
350354986922552,51200
350355025902188,51520
350355065723177,51840
350355106581094,52160
350355146471198,52480
350355186620313,52800
350355226814011,53120
350355267478125,53440
350355306049271,53760
350355345505209,54080
350355389412084,54400
350355426018802,54720
350355464500000,55040
350355506572188,55360
350355545377188,55680
350355586195417,56000
350355625122031,56320
350355669079688,56640
350355706954792,56960
350355745636302,57280
350355786526354,57600
350355826500156,57920
350355867703594,58240
350355906863750,58560
350355950971406,58880
350355986549323,59200
350356024614531,59520
350356063739583,59840
350356105200156,60160
350356145609271,60480
350356186862812,60800
350356225496667,61120
350356265200417,61440
350356305171042,61760
350356344976250,62080
350356393216771,62400
350356425336302,62720
350356463900104,63040
350356505011510,63360
350356545086719,63680
350356584423281,64000
350356623918594,64320
350356664640521,64640
350356705085885,64960
350356743942291,65280
350356784900312,65600
350356825089896,65920
350356865088437,66240
350356905697864,66560
350356944733021,66880
350356985576250,67200
350357025298385,67520
350357064508802,67840
350357104008437,68160
350357145081927,68480
350357185380520,68800
350357224972552,69120
350357264166406,69440
350357303835000,69760
350357343350833,70080
350357384574687,70400
350357425342447,70720
350357466411562,71040
350357504595833,71360
350357545788541,71680
350357584168020,72000
350357623989531,72320
350357663289166,72640
350357704149531,72960
350357744254635,73280
350357783549895,73600
350357823632551,73920
350357863482031,74240
350357904322343,74560
350357943316874,74880
350357983949374,75200
350358024096770,75520
350358063381718,75840
350358103589530,76160
350358143704947,76480
350358185210676,76800
350358223530208,77120
350358265921457,77440
350358306057187,77760
350358343833957,78080
350358383551405,78400
350358423792447,78720
350358463226718,79040
350358503367707,79360
350358545011197,79680
350358584779478,80000
350358623295780,80320
350358664615364,80640
350358705960780,80960
350358746904895,81280
350358784250624,81600
350358824994166,81920
350358864408280,82240
350358907032655,82560
350358944728905,82880
350358984372811,83200
350359026106509,83520
350359063781457,83840
350359103381093,84160
350359145205363,84480
350359184939582,84800
350359225056665,85120
350359264900155,85440
350359305670884,85760
350359345293801,86080
350359385774686,86400
350359424171978,86720
350359466129165,87040
350359503679270,87360
350359544127551,87680
350359583649478,88000
350359624356509,88320
350359664956353,88640
350359704227655,88960
350359743737655,89280
350359784570936,89600
350359824789426,89920
350359863359790,90240
350359904747290,90560
350359945125363,90880
350359991356821,91200
350360024560988,91520
350360063930623,91840
350360104493905,92160
350360145413019,92480
350360183165311,92800
350360223471248,93120
350360264423748,93440
350360304728436,93760
350360344800728,94080
350360385501196,94400
350360424790728,94720
350360464247811,95040
350360508971196,95360
350360545394321,95680
350360584046196,96000
350360624083748,96320
350360665308540,96640
350360705323800,96960
350360744423332,97280
350360784197446,97600
350360823355519,97920
350360863409477,98240
350360903833800,98560
350360943607759,98880
350360984433279,99200
350361025372290,99520
350361065083696,99840
350361103559113,100160
350361144275154,100480
350361184527550,100800
350361224541300,101120
350361265096456,101440
350361303481300,101760
350361343222654,102080
350361383728071,102400
350361423747863,102720
350361463297654,103040
350361505253956,103360
350361544589894,103680
350361584357758,104000
350361623729269,104320
350361665024633,104640
350361703516144,104960
350361743658175,105280
350361785501977,105600
350361825181717,105920
350361865870987,106240
350361903928592,106560
350361946505050,106880
350361983844633,107200
350362024937185,107520
350362064625362,107840
350362104269633,108160
350362144774894,108480
350362184564737,108800
350362223991716,109120
350362264733383,109440
350362304721977,109760
350362344634998,110080
350362386732393,110400
350362424217498,110720
350362464249633,111040
350362505511091,111360
350362545397654,111680
350362584737914,112000
350362624759841,112320
350362664059060,112640
350362705107602,112960
350362744746768,113280
350362784408487,113600
350362825364945,113920
350362863666716,114240
350362903346299,114560
350362943794216,114880
350362985653591,115200
350363024266664,115520
350363064178227,115840
350363103871404,116160
350363143669008,116480
350363184300258,116800
350363224500101,117120
350363263607549,117440
350363303494112,117760
350363344794737,118080
350363384336456,118400
350363424777237,118720
350363464357133,119040
350363503901351,119360
350363544197445,119680
350363584117133,120000
350363624170518,120320
350363664954528,120640
350363704660726,120960
350363743841351,121280
350363784719476,121600
350363824239476,121920
350363863814216,122240
350363903902237,122560
350363944468955,122880
350363983245570,123200
350364024229424,123520
350364064537653,123840
350364104844320,124160
350364144415778,124480
350364183985830,124800
350364223514164,125120
350364264118955,125440
350364303798278,125760
350364344225882,126080
350364384572132,126400
350364424218070,126720
350364464786872,127040
350364504350934,127360
350364545198382,127680
350364584687705,128000
350364624602809,128320
350364664924684,128640
350364709994007,128960
350364745119684,129280
350364784797705,129600
350364825419840,129920
350364865149215,130240
350364905076559,130560
350364945003017,130880
350364985953955,131200
350365025697236,131520
350365064698017,131840
350365106234215,132160
350365144712288,132480
350365183814944,132800
350365226164163,133120
350365264403590,133440
350365303887392,133760
350365344709580,134080
350365384111976,134400
350365424580361,134720
