timestamp_ns,累计采样数
1568222871741529,320
1568222913198560,640
1568222952849289,960
1568222993976841,1280
1568223033957987,1600
1568223072905748,1920
1568223113342883,2240
1568223153265904,2560
1568223193626633,2880
1568223234727779,3200
1568223272795279,3520
1568223312802779,3840
1568223352957466,4160
1568223392815018,4480
1568223434251268,4800
1568223476349445,5120
1568223512709550,5440
1568223552998977,5760
1568223592883404,6080
1568223632552310,6400
1568223672826529,6720
1568223712589758,7040
1568223752899914,7360
1568223792790539,7680
1568223832863404,8000
1568223873000695,8320
1568223913303247,8640
1568223953279237,8960
1568223992730904,9280
1568224032882779,9600
1568224072975383,9920
1568224113427570,10240
1568224153117362,10560
1568224192831841,10880
1568224233294966,11200
1568224273013612,11520
1568224313260122,11840
1568224353469758,12160
1568224393509237,12480
1568224434777518,12800
1568224473882466,13120
1568224513200226,13440
1568224553136528,13760
1568224594066893,14080
1568224633110695,14400
1568224672936997,14720
1568224713210747,15040
1568224753189705,15360
1568224792993872,15680
1568224833211216,16000
1568224873752153,16320
1568224914593820,16640
1568224953356841,16960
1568224993105539,17280
1568225033849028,17600
1568225072830851,17920
1568225112539184,18240
1568225152579236,18560
1568225192889601,18880
1568225232941163,19200
1568225272580955,19520
1568225312716163,19840
1568225353318559,20160
1568225393691268,20480
1568225433585434,20800
1568225472887049,21120
1568225512610747,21440
1568225553915903,21760
1568225592666372,22080
1568225634830018,22400
1568225675041320,22720
1568225712935382,23040
1568225752584913,23360
1568225792561528,23680
1568225832818455,24000
1568225873414809,24320
1568225913363507,24640
1568225953184809,24960
1568225994567569,25280
1568226032765069,25600
1568226074463403,25920
1568226114024653,26240
1568226154230121,26560
1568226193352830,26880
1568226232710642,27200
1568226272982778,27520
1568226313300798,27840
1568226353253038,28160
1568226392609444,28480
1568226433753090,28800
1568226473240903,29120
1568226513633559,29440
1568226554015382,29760
1568226592388298,30080
1568226635543923,30400
1568226672769705,30720
1568226714325017,31040
1568226752935798,31360
1568226792709757,31680
1568226833396892,32000
1568226872908402,32320
1568226913289184,32640
1568226953609340,32960
1568226993204496,33280
1568227032875382,33600
1568227073562204,33920
1568227113356579,34240
1568227153441579,34560
1568227195617777,34880
1568227233129756,35200
1568227272650902,35520
1568227314559496,35840
1568227353076892,36160
1568227393038454,36480
1568227432933819,36800
1568227472843090,37120
1568227514297100,37440
1568227553163975,37760
1568227592647465,38080
1568227635939288,38400
1568227672867933,38720
1568227713440485,39040
1568227752746110,39360
1568227792987985,39680
1568227833546371,40000
1568227872707829,40320
1568227914205121,40640
1568227953424287,40960
1568227992733402,41280
1568228032725902,41600
