timestamp_ns,累计采样数
263650393887605,320
263650432804219,640
263650473052396,960
263650513671355,1280
263650553268594,1600
263650595668282,1920
263650634053282,2240
263650683960157,2560
263650713803907,2880
263650752889896,3200
263650793517188,3520
263650834333542,3840
263650878801198,4160
263650912659948,4480
263650954307604,4800
263651005430677,5120
263651033657188,5440
263651073556615,5760
263651173926250,6080
263651175315052,6400
263651196543698,6720
263651233036979,7040
263651272880417,7360
263651312920208,7680
263651352814740,8000
263651395958229,8320
263651433037031,8640
263651488764323,8960
263651514619896,9280
263651553198437,9600
263651592941510,9920
263651634943698,10240
263651672779323,10560
263651712707552,10880
263651756616094,11200
263651792861510,11520
263651832673073,11840
263651875603646,12160
263651913435625,12480
263651952681979,12800
263651993739114,13120
263652032918021,13440
263652093341562,13760
263652112741406,14080
263652152671666,14400
263652193061250,14720
263652232911093,15040
263652278354635,15360
263652314620364,15680
263652352592291,16000
263652392580729,16320
263652432632708,16640
263652473005260,16960
263652515674948,17280
263652552873177,17600
263652592504687,17920
263652632795833,18240
263652673140833,18560
263652729076354,18880
263652759760156,19200
263652792854270,19520
263652833178645,19840
263652872591041,20160
263652912581458,20480
263652952655729,20800
263652992897031,21120
263653033055468,21440
263653072645312,21760
263653114386197,22080
263653152455260,22400
263653192505156,22720
263653232245051,23040
263653272371145,23360
263653314929791,23680
263653352798228,24000
263653392812499,24320
263653433421093,24640
263653472758020,24960
263653513099218,25280
263653553889583,25600
263653593816458,25920
263653632506874,26240
263653672389791,26560
263653713799062,26880
263653752350416,27200
263653792369478,27520
263653833984530,27840
263653872862447,28160
263653914450884,28480
263653952477707,28800
263653992466978,29120
263654032466614,29440
263654073182291,29760
263654112452291,30080
263654152373593,30400
263654193139947,30720
263654232352082,31040
263654272719634,31360
263654312599374,31680
263654353148072,32000
263654392508853,32320
263654432718488,32640
263654472989895,32960
263654512629218,33280
263654554453280,33600
263654593559843,33920
263654632604218,34240
263654672352655,34560
263654712381718,34880
263654752485780,35200
263654792405467,35520
263654833593020,35840
263654872570780,36160
263654912471405,36480
263654953482290,36800
263654992758697,37120
263655032490259,37440
263655072776040,37760
263655112267342,38080
263655152556509,38400
263655192875311,38720
263655232608957,39040
263655273202499,39360
263655312478019,39680
263655352552499,40000
263655392769426,40320
263655433125832,40640
263655472713332,40960
263655512862394,41280
263655552831978,41600
263655592551613,41920
263655632453176,42240
263655672955050,42560
263655712824894,42880
263655756565050,43200
263655792681978,43520
263655832584373,43840
263655872779269,44160
263655912534269,44480
263655952791925,44800
263655993315207,45120
263656036466300,45440
263656072618071,45760
263656114046613,46080
263656154213332,46400
263656194423852,46720
263656232462394,47040
263656272834425,47360
263656312490415,47680
263656352293071,48000
263656392537550,48320
263656434623384,48640
263656472230884,48960
263656513076977,49280
263656552441300,49600
263656592622915,49920
263656632975675,50240
263656672232238,50560
263656714266665,50880
263656754327342,51200
263656792722029,51520
263656832246196,51840
263656872307863,52160
263656912932133,52480
263656952378071,52800
263656992502550,53120
263657032411508,53440
263657072577602,53760
263657112566821,54080
263657152573331,54400
263657192558852,54720
263657233025883,55040
263657272437394,55360
263657312646300,55680
263657353155779,56000
263657393793644,56320
263657433145414,56640
263657472942029,56960
263657512606873,57280
263657552715883,57600
263657592509998,57920
263657633325518,58240
263657672833071,58560
263657712495623,58880
263657753239581,59200
263657792894425,59520
263657832844893,59840
263657874335987,60160
263657913138904,60480
263657952440935,60800
263657992569216,61120
263658032599164,61440
263658072420727,61760
263658112803487,62080
263658152356872,62400
263658193047185,62720
263658232937966,63040
263658272955206,63360
263658320170414,63680
263658353883852,64000
263658392514372,64320
263658433192862,64640
263658473028799,64960
263658513097654,65280
263658554604737,65600
263658592748539,65920
263658634013331,66240
263658675681039,66560
263658712784685,66880
263658752783226,67200
263658793426247,67520
263658833079216,67840
263658872809216,68160
263658913021560,68480
263658952490466,68800
263658993342862,69120
263659033477810,69440
263659073142497,69760
263659113694737,70080
263659152619320,70400
263659192548278,70720
263659233048851,71040
263659272366612,71360
263659314365830,71680
263659352334841,72000
263659392472184,72320
263659432523643,72640
263659472570570,72960
263659512273539,73280
263659552265726,73600
263659592309372,73920
263659632371091,74240
263659672347757,74560
263659712454997,74880
263659752571559,75200
263659792562653,75520
263659832655674,75840
263659873080882,76160
263659913053226,76480
263659953054788,76800
263659993050622,77120
263660032685309,77440
263660072865830,77760
263660113395934,78080
263660152290309,78400
263660195135465,78720
263660232583747,79040
263660272925101,79360
263660312425830,79680
263660352509736,80000
263660394187392,80320
263660432792445,80640
263660475745309,80960
263660512711507,81280
263660552953903,81600
263660592809528,81920
263660632506872,82240
263660673897184,82560
263660713073538,82880
263660753673590,83200
263660792504944,83520
263660833900726,83840
263660872311246,84160
263660912181455,84480
263660952643069,84800
263660992413538,85120
263661033642913,85440
263661072885465,85760
263661113336975,86080
263661152303955,86400
263661192802548,86720
263661236562548,87040
263661272573069,87360
263661315027705,87680
263661352400309,88000
263661392756559,88320
263661435446038,88640
263661472232705,88960
263661513446298,89280
263661552407757,89600
263661597478434,89920
263661632447027,90240
263661672691559,90560
263661713124996,90880
263661752482288,91200
263661793306090,91520
263661832548434,91840
263661873849423,92160
263661912758277,92480
263661952468902,92800
263661993087652,93120
263662032555881,93440
263662072534215,93760
263662112286715,94080
263662153375465,94400
263662193112236,94720
263662232452652,95040
263662273072913,95360
263662312382496,95680
263662353988069,96000
263662392457079,96320
263662433943329,96640
263662472554267,96960
263662512864735,97280
263662553310360,97600
263662592499162,97920
263662637232496,98240
263662672964319,98560
263662713443589,98880
263662754152548,99200
263662793444944,99520
263662834233017,99840
263662873406246,100160
263662913534787,100480
263662952441350,100800
263662992933173,101120
263663036325152,101440
263663072486089,101760
263663114137079,102080
263663156291662,102400
263663193450464,102720
263663232669110,103040
263663272225256,103360
263663312300725,103680
263663352521714,104000
263663393798798,104320
263663432904943,104640
263663472955308,104960
263663513055829,105280
263663552667808,105600
263663593471766,105920
263663632717652,106240
263663672810620,106560
263663712540881,106880
263663753127027,107200
263663794628902,107520
263663832840568,107840
263663872539266,108160
263663912888381,108480
263663953465829,108800
263663993383381,109120
263664033047547,109440
263664072949422,109760
263664112545308,110080
263664152361037,110400
263664192657964,110720
263664232952026,111040
263664272506662,111360
263664312649214,111680
263664352225256,112000
263664392479526,112320
263664432958641,112640
263664473158016,112960
263664512814005,113280
263664552687651,113600
263664592618172,113920
263664632982078,114240
263664673157703,114560
263664712524370,114880
263664753028953,115200
263664797396453,115520
263664832628797,115840
263664872435464,116160
263664913799943,116480
263664952642599,116800
263664992541557,117120
263665032493693,117440
263665073371505,117760
263665112752130,118080
263665153571557,118400
